Code,Description
BAM,Best Actor Male
BAF,Best Actress Female
BSAM,Best Supporting Actor
BSAF,Best Supporting Actress
BLP,Best Leading Performance
BSP,Best Supporting Performance
BD,Best Director
BF,"Best Film (mostly F, occasionally D)"
BDF,Best Documentary Film
BFF,Best Fiction Film (exclusively F)
BAF,Best Animation Film (Feature)
LAA,"Life Achievement Award/HonoraryAward"
