Code,Description
DIR,Director of the film
LEA,Leading actor
SUP,Supporting actor
MIN,Minor actor/Cameo
NAR,Narrator/voice over
VOI,Voice actor
DOC,Documentary subject
SCR,Screenwriter
PRO,Producer
