Code,Description
CDC,César du cinéma
GOYA,Premios Goya
BAFTA,"British Academy Film Awards(BAFTA)"
BIFA,British Independent Film Awards
MDC,Magritte du cinéma
PDD,Premio David di Donatello
DF,Deutscher Filmpreis
OF,Österreichischer Filmpreis
SF,Schweizer Filmpreis
GOPO,Premiile Gopo
MF,Magyar Filmszemle (2008-2011)
MMD,"Magyar Mozgókép Díj (2016-2023)"
GA,Golden Arena
VA,The Vesna Award
EFA,European Film Awards
