person_name,person_nat
Alberto Santana,
Alberto Sciamma,ES
Alberto Sforzi,IT
Alberto Vázquez,ES
Albrecht Schneider,DE
Aldo Baglio,IT
Aldo De Martino,IT
Aldo Ivančić,HR
Aldo Maccione,IT
Aldo Naouri,FR
Alec Baldwin,US
Alec Gillis,US
Alec Mansion,BE
Alecs Năstoiu,RO
Aleem Khan,GB
Alejandra Flechner,AR
Alejandro Amenábar,CL
Alejandro Awada,AR
Alejandro Cortés Calahorra,ES
Alejandro Goic,CL
Alejandro González Salgado,ES
Alejandro Ibáñez,
Alejandro Jodorowsky,CL
Alejandro Marín,ES
Alejandro Palomino,CU
Alejandro Sabella,AR
Alejandro Suárez Lozano,ES
Alejo Levis,ES
Alejo Stivel,AR
Aleksandar Cvjetković,HR
Aleksandar Seksan,BA
Aleksei Guskov,RU
Aleksey Gorbunov,UA
Aleksey Kravchenko,RU
Aleksey Shedko,BY
Alen Liverić,HR
Alen Pavšar,SI
Alen Šalinović,HR
Alenka Cilenšek,SI
Aleš Strajnar,SI
Alessandra Bianchi,IT
Alessandra Costanzo,IT
Alessandra Faiella,IT
Alessandra Panaro,IT
Alessandro Abba Legnazzi,IT
Alessandro Aronadio,IT
Alessandro Bardani,IT
Alessandro Bencivenga,IT
Alessandro Benvenuti,IT
Alessandro Bressanello,IT
Alessandro Campagna,IT
Alessandro Capitani,IT
Alessandro Capone,IT
Alessandro Colizzi,IT
Alessandro Comodin,IT
Alessandro D'Alatri,IT
Alessandro di Giuseppe,FR
Alessandro Di Robilant,IT
Alessandro G.A. D'Alessandro,IT
Alessandro Garilli,IT
Alessandro Gassmann,IT
Alessandro Gazale,IT
Alessandro Genovesi,IT
Alessandro Haber,IT
Alessandro Ingrà,IT
Alessandro Lunardelli,IT
Alessandro Marzullo,IT
Alessandro Negrini,IT
Alessandro Paci,IT
Alessandro Piva,IT
Alessandro Pondi,IT
Alessandro Rak,IT
Alessandro Roja,IT
Alessandro Rossellini,IT
Alessandro Rossetto,IT
Alessandro Siani,IT
Alessandro Tamburini,IT
Alessandro Valenti,IT
Alessandro Valori,IT
Alessia Scarso,IT
Alessio Boni,IT
Alessio Bozzer,IT
Alessio Cremonini,IT
Alessio De Leonardis,IT
Alessio Di Cosimo,IT
Alessio Lauria,IT
Alessio Maria Federici,IT
Alessio Rigo de Righi,IT
Alessio Rigo de Righi,US
Álex Angulo,ES
Alex Brendea,RO
Àlex Casanovas,ES
Alex Coteț,RO
Álex de la Iglesia,ES
Alex Descas,FR
Alex Ferguson,GB
Alex García López,AR
Alex Helfrecht,GB
Alex Holmes,GB
Alex Infascelli,IT
Alex Jennings,GB
Álex López,ES
Alex Lutz,FR
Alex Norton,GB
Álex Pina,ES
Alex Schaad,DE
Alex Stepney,GB
Alexa Karolinski,DE
Alexa Povah,GB
Alexa Visarion,RO
Alexander Abaturov,RU
Alexander Bălănescu,RO
Alexander Berner,DE
Alexander Dannenberg,DE
Alexander E. Fennon,AT
Alexander Gauland,DE
Alexander Grasseck,
Alexander Hauff,DE
Alexander Häusser,DE
Alexander Held,DE
Alexander Kluge,DE
Alexander Liegl,DE
Alexander Lutz,AT
Alexander Mitterer,IT
Alexander Nanau,RO
Alexander Nanau,DE
Alexander Pusch,DE
Alexander Radszun,DE
Alexander Schubert,DE
Alexandra Davidescu,RO
Alexandra Leclère,FR
Alexandra Mercouroff,FR
Alexandra Pianelli,FR
Alexandra Robert,FR
Alexandra Sell,DE
Alexandra Stewart,CA
Alexandre Arcady,FR
Alexandre Astier,FR
Alexandre Bustillo,FR
Alexandre Castagnetti,FR
Alexandre Charlot,FR
Alexandre Coffre,FR
Alexandre de La Patellière,FR
Alexandre Debanne,FR
Alexandre Espigares,ES
Alexandre Espigares,LU
Alexandre Ferrini,FR
Alexandre Heboyan,FR
Alexandre Jollien,CH
Alexandre Poncet,FR
Alexandre Powelz,
Alexandre von Sivers,BE
Alexandre Zeff,FR
Alexandrina Halic,RO
Alexandru Badea,RO
Alexandru Belc,RO
Alexandru Bindea,RO
Alexandru Buzea,RO
Alexandru Dabija,RO
Alexandru Georgescu,RO
Alexandru Lustig,RO
Alexandru Mavrodineanu,RO
Alexandru Mereuță,RO
Alexandru Pop,RO
Alexandru Repan,RO
Alexeï Gouskov,RU
Alexia Walther,CH
Alexis Alexiou,GR
Alexis Cahill,IT
Alexis Díaz Pimienta,CU
Alexis Ducord,FR
Alexis Langlois,FR
Alexis Michalik,FR
Alexis Morante,ES
Alexis Wajsbrot,FR
Alexs Stadermann,
Alexs Stadermann,AU
Alfeo Carnelutti,IT
Alfonso Agra,ES
Alfonso Albacete,ES
Alfonso Bergamo,IT
Alfonso Cortés-Cavanillas,ES
Alfonso Delgado,ES
Alfonso Guerra,ES
Alfonso Kint,ES
Alfonso Sánchez,ES
Alfonso Santagata,IT
Alfonso Torregrosa,ES
Alfonso Ungría,ES
Alfonso Zarauza,ES
Alfred George Bailey,GB
Alfred Sauter,DE
Alfredo Carrasco Alonso,ES
Alfredo Castro,CL
Alfredo Contreras,ES
Alfredo Fiorillo,IT
Alfredo Zamora,ES
Algis Arlauskas,ES
Ali Abbasi,IR
Ali Bougheraba,FR
Ali Samadi Ahadi,DE
Ali Samadi Ahadi,IR
Alice Agneskirchner,DE
Alice Botté,FR
Alice Cooper,US
Alice Diop,FR
Alice Krige,ZA
Alice Lowe,GB
Alice Philippon,FR
Alice Rohrwacher,IT
Alice Troughton,GB
Alice Waters,US
Alice Winocour,FR
Alice Zeniter,FR
Alicia Sánchez,ES
Alida Valli,IT
Alin Boeru,RO
Alin Panc,RO
Alina Grigore,RO
Aline Dalbis,FR
Aline Geller,FR
Aline Pilato,IT
Alireza Golafshan,IR
Alireza Khatami,IR
Alireza Khatami,US
Alison Bruce,NZ
Alison Dowling,MA
Alison Peebles,GB
Alison Steadman,GB
Alistair Findlay,GB
Aljoša Vučković,HR
Álkis Panagiotidis,GR
Allan Corduner,GB
Allan Corduner,SE
Allan Corduner,UK
Allan Mauduit,FR
Allan Melia,
Alma Prica,HR
Almudena Carracedo,ES
Almudena Grandes,ES
Almut Zilcher,AT
Alonso Posadas,ES
Alun Armstrong,GB
Alvar Gordejuela,ES
Álvaro Báguena,ES
Álvaro Brechner,UY
Álvaro de Luna,ES
Álvaro Díaz Lorenzo,ES
Álvaro Fernández Armero,ES
Álvaro Gago Díaz,ES
Alvaro Gradella,IT
Alvaro Lombard,FR
Álvaro Longoria,ES
Álvaro Peña-Rojas,CL
Álvaro Roig,ES
Álvaro Uribe,CO
Álvaro Urquijo,ES
Alvaro Vitali,IT
Alvia Reale,IT
Amalia Ciolan,RO
Amanda Barrie,GB
Amanda Bearse,US
Amanda Donohue,GB
Amanda Lear,FR
Amanda Plummer,US
Amanda Sthers,FR
Amandine Fredon,FR
Amandine Fredon,
Amar Adatia,GB
Ambra Principato,IT
Ambrogio Lo Giudice,IT
Amélie Ravalec,FR
Amelle Chahbi,FR
Amer Hlehel,
Amerigo Fontani,IT
Amidou (Hamidou Benmessaoud),FR
Amir Muratović,BA
Amir Muratović,SI
Amira Ghazalla,EG
Amiran Amiranashvili,AM
Aml Ameen,GB
Amma Asante,GB
Amor Hakkar,DZ
Amos Gitai,IL
Amos Gitai,
Amparo Badiola,ES
Amparo Climent,ES
Amparo Fernández,ES
Amparo Moreno,ES
Amparo Muñoz,ES
Amparo Pamplona,ES
Amparo Soler Leal,ES
Amparo Valle,ES
Amro Hamzawi,FR
