YEAR,AWARD,"CATEGORY
(EN SHORT)","FILM
(ORIGINAL TITLE)",F/D/A,RESULT,FILM ID
2014,BIFA,BF,The Possibilities are Endless,D,N,GB2014_037
2024,BAFTA,BAF,Chicken Run: Dawn of the Nugget,A,N,GB2023_062
2021,BAFTA,BDF,Collective,D,N,RO2020_002
2021,BAFTA,BDF,David Attenborough: A Life on Our Planet,D,N,GB2020_040
2020,BAFTA,BAF,Klaus,A,A,ES2019_012
2015,BAFTA,BF,The Theory of Everything,F,A,GB2015_079
2015,BAFTA,BF,Paddington,F,N,GB2014_006
2015,BAFTA,BF,Pride,F,N,GB2014_003
2015,BAFTA,BDF,"20,000 Days on Earth",D,N,GB2014_002
2016,BAFTA,BF,Brooklyn,F,A,GB2015_006
2016,BAFTA,BF,45 Years,F,N,GB2015_009
2017,BAFTA,BF,"I, Daniel Blake",F,A,GB2016_007
2017,BAFTA,BF,Fantastic Beasts and Where to Find Them,F,N,GB2016_015
2018,BAFTA,BF,"Three Billboards Outside Ebbing, Missouri",F,A,GB2018_004
2018,BAFTA,BF,Darkest Hour,F,N,GB2018_002
2018,BAFTA,BF,The Death of Stalin,F,N,GB2017_006
2018,BAFTA,BF,God's Own Country,F,N,GB2017_017
2018,BAFTA,BF,Lady Macbeth,F,N,GB2017_029
2018,BAFTA,BF,Paddington 2,F,N,GB2017_002
2019,BAFTA,BF,The Favourite,F,A,GB2019_094
2019,BAFTA,BF,Beast,F,N,GB2018_074
2019,BAFTA,BF,Stan & Ollie,F,N,GB2019_003
2019,BAFTA,BF,You Were Never Really Here,F,N,GB2018_010
2020,BAFTA,BF,1917,F,A,GB2020_001
2020,BAFTA,BF,Rocketman,F,N,GB2019_085
2021,BAFTA,BF,Calm with Horses,F,N,GB2020_036
2021,BAFTA,BF,The Dig,F,N,GB2021_019
2021,BAFTA,BF,The Father,F,N,GB2021_005
2021,BAFTA,BF,The Mauritanian,F,N,GB2021_012
2021,BAFTA,BF,Mogul Mowgli,F,N,GB2020_035
2022,BAFTA,BF,Belfast,F,A,GB2022_075
2022,BAFTA,BF,After Love,F,N,GB2021_017
2022,BAFTA,BF,Boiling Point,F,N,GB2022_047
2022,BAFTA,BF,Everybody's Talking About Jamie,F,N,GB2021_025
2022,BAFTA,BF,Last Night in Soho,F,N,GB2021_004
2022,BAFTA,BF,No Time to Die,F,N,GB2021_001
2023,BAFTA,BF,Brian and Charles,F,N,GB2022_019
2023,BAFTA,BF,Empire of Light,F,N,GB2023_002
2023,BAFTA,BF,"Good Luck to You, Leo Grande",F,N,GB2022_007
2023,BAFTA,BF,Living,F,N,GB2022_008
2023,BAFTA,BF,Roald Dahl's Matilda the Musical,F,N,GB2022_003
2024,BAFTA,BF,The Old Oak,F,N,GB2023_003
2024,BAFTA,BF,Rye Lane,F,N,GB2023_012
2014,EFA,BDF,Jack and the Cuckoo-Clock Heart,A,N,FR2014_017
2015,EFA,BF,Youth,F,A,IT2015_004
2015,EFA,BF,Mustang,F,N,FR2015_083
2015,EFA,BF,Victoria,F,N,DE2015_062
2015,EFA,BDF,Dancing with Maria,D,N,IT2015_060
2015,EFA,BAF,Adama,A,N,FR2015_140
2023,PDD,BF,Esterno Notte,F,N,IT2022_015
2023,PDD,BF,La stranezza,F,N,IT2022_002
2023,PDD,BF,Nostalgia,F,N,IT2022_005
2023,PDD,BDF,Kill me if you can,D,N,IT2023_113
2022,PDD,BF,Ariaferma,F,N,IT2021_038
2022,PDD,BF,È stata la mano di Dio,F,A,IT2021_056
2022,PDD,BF,Ennio,D,N,IT2022_081
2022,PDD,BF,Freaks Out,F,N,IT2021_046
2022,PDD,BF,Qui Rido Io,F,N,IT2021_022
2022,PDD,BDF,Ennio,D,A,IT2022_081
2022,PDD,BDF,Marx può aspettare,D,N,IT2021_015
2021,PDD,BF,Volevo nascondermi,F,A,IT2020_009
2021,PDD,BF,Favolacce,F,N,IT2020_018
2021,PDD,BF,Hammamet,F,N,IT2020_005
2021,PDD,BF,Le sorelle Macaluso,F,N,IT2020_012
2021,PDD,BF,Miss Marx,F,N,IT2020_013
2021,PDD,BDF,The Rossellinis,D,N,IT2021_002
2020,PDD,BF,Il traditore,F,A,IT2019_008
2020,PDD,BF,La paranza dei bambini,F,N,IT2019_015
2020,PDD,BF,Pinocchio,F,N,IT2019_002
2019,PDD,BF,Dogman,F,A,IT2018_012
2019,PDD,BF,Euforia,F,N,IT2018_020
2019,PDD,BF,Lazzaro felice,F,N,IT2018_035
2019,PDD,BF,Sulla mia pelle,F,N,IT2018_034
2019,PDD,BDF,"Santiago, Italia",D,A,IT2018_033
2019,PDD,BDF,Arrivederci Saigon,D,N,IT2018_083
2019,PDD,BDF,Friedkin Uncut,D,N,IT2018_104
2018,PDD,BF,Ammore e malavita,F,A,IT2017_017
2018,PDD,BF,A Ciambra,F,N,IT2017_051
2018,PDD,BF,Gatta Cenerentola,A,N,IT2017_031
2018,PDD,BF,La tenerezza,F,N,IT2017_011
2018,PDD,BDF,La lucida follia di Marco Ferreri,D,A,IT2017_112
2017,PDD,BF,La pazza gioia,F,A,IT2016_006
2017,PDD,BF,Fai bei sogni,F,N,IT2016_028
2017,PDD,BF,Indivisibili,F,N,IT2016_038
2017,PDD,BF,Veloce come il vento,F,N,IT2016_015
2017,PDD,BDF,Liberami,D,N,IT2016_070
2016,PDD,BF,Perfetti sconosciuti,F,A,IT2016_003
2016,PDD,BF,Il racconto dei racconti,F,N,IT2015_016
2016,PDD,BF,Non essere cattivo,F,N,IT2015_026
2016,PDD,BF,Youth - la giovinezza,F,N,IT2015_004
2016,PDD,BDF,S is for Stanley,D,A,IT2016_075
2015,PDD,BF,Anime nere,F,A,IT2014_026
2015,PDD,BF,Hungry Hearts,F,N,IT2015_034
2015,PDD,BF,Il giovane favoloso,F,N,IT2014_007
2015,PDD,BF,Mia madre,F,N,IT2015_012
2015,PDD,BDF,Belluscone,D,A,IT2014_044
2014,PDD,BF,Il capitale umano,F,A,IT2014_009
2014,PDD,BF,La sedia della felicità,F,N,IT2014_023
2014,PDD,BF,Smetto quando voglio,F,N,IT2014_013
2017,EFA,BAF,Ethel & Ernest,A,N,GB2016_031
2017,EFA,BAF,Louise by the shore,A,N,FR2016_168
2017,EFA,BAF,Zombillénium,A,N,FR2017_151
2017,EFA,BDF,La Chana,D,N,ES2017_012
2016,EFA,BF,Toni Erdmann,F,A,DE2016_072
2016,EFA,BF,Elle,F,N,FR2016_085
2016,EFA,BF,"I, Daniel Blake",F,N,GB2016_007
2016,EFA,BF,Julieta,F,N,ES2016_005
2016,EFA,BDF,S is for Stanley,D,N,IT2016_075
2024,PDD,BF,Io capitano,F,A,IT2023_002
2024,PDD,BF,C'è ancora domani,F,N,IT2023_001
2024,PDD,BF,Il sol dell'avvenire,F,N,IT2023_005
2024,PDD,BF,La chimera,F,N,IT2023_024
2024,PDD,BF,Rapito,F,N,IT2023_011
2024,PDD,BDF,Laggiù qualcuno mi ama,D,A,IT2023_033
2024,PDD,BDF,Enzo Jannacci: Vengo anch'io,D,N,IT2023_047
2024,PDD,BDF,"Io, noi e Gaber",D,N,IT2023_032
2024,PDD,BDF,"Roma, santa e dannata",D,N,IT2023_112
2024,CDC,BF,Anatomie d'une chute,F,A,FR2023_155
2024,CDC,BF,Chien de la casse,F,N,FR2023_093
2024,CDC,BF,Je verrai toujours vos visages,F,N,FR2023_073
2024,CDC,BF,Le Procès Goldman,F,N,FR2023_167
2024,CDC,BF,Le Règne animal,F,N,FR2023_173
2024,CDC,BDF,Atlantic Bar,D,N,FR2023_071
2024,CDC,BDF,Little Girl Blue,D,N,FR2023_199
2024,CDC,BDF,Notre corps,D,N,FR2023_176
2024,CDC,BDF,Sur l'Adamant,D,N,FR2023_091
2024,CDC,BAF,Linda veut du poulet !,A,A,FR2023_184
2024,CDC,BAF,Interdit aux chiens et aux Italiens,A,N,FR2023_022
2024,CDC,BAF,Mars Express,A,N,FR2023_205
2023,CDC,BF,La Nuit du 12,F,A,FR2022_107
2023,CDC,BF,Les Amandiers,F,N,FR2022_167
2023,CDC,BF,En corps,F,N,FR2022_062
2023,CDC,BF,L'Innocent,F,N,FR2022_143
2023,CDC,BF,Pacifiction : Tourment sur les Îles,F,N,ES2022_023
2023,CDC,BDF,Les Années Super 8,D,N,FR2022_184
2023,CDC,BDF,Jane par Charlotte,D,N,FR2022_003
2023,CDC,BAF,Ernest et Célestine : Le Voyage en Charabie,A,N,FR2022_183
2023,CDC,BAF,Le Petit Nicolas : Qu'est-ce qu'on attend pour être heureux ?,A,N,FR2022_144
2022,CDC,BF,Illusions perdues,F,A,FR2021_089
2022,CDC,BF,Aline,F,N,FR2021_103
2022,CDC,BF,BAC Nord,F,N,FR2021_052
2022,CDC,BF,La Fracture,F,N,FR2021_095
2022,CDC,BF,"Onoda, 10 000 nuits dans la jungle",F,N,FR2021_039
2022,CDC,BDF,Debout les femmes !,D,N,FR2021_082
2022,CDC,BAF,La Traversée,A,N,FR2021_078
2021,CDC,BF,Adieu les cons,F,A,FR2020_085
2021,CDC,BF,Antoinette dans les Cévennes,F,N,FR2020_066
2021,CDC,BF,"Les Choses qu'on dit, les choses qu'on fait",F,N,FR2020_067
2021,CDC,BF,Été 85,F,N,FR2020_045
2021,CDC,BDF,Un pays qui se tient sage,D,N,FR2020_076
2021,CDC,BAF,Josep,A,A,FR2020_075
2021,CDC,BAF,Petit Vampire,A,N,FR2020_087
