YEAR,AWARD,"CATEGORY
(EN SHORT)","FILM
(ORIGINAL TITLE)",F/D/A,RESULT,FILM ID
2018,MMD,BFF,A Viszkis,F,N,HU2017_002
2018,MMD,BFF,Kincsem,F,N,HU2017_001
2018,MMD,BDF,Egy nő fogságban,D,A,HU2019_019
2018,MMD,BDF,Granny Project,D,N,HU2018_015
2018,MMD,BDF,Ultra,D,N,HU2017_015
2018,MMD,BDF,Visszahúz a múlt – Ember Judit portréja,D,N,HU2017_023
2017,MMD,BFF,A martfűi rém,F,A,HU2016_002
2017,MMD,BFF,The Carer,F,N,GB2016_027
2017,MMD,BFF,Hurok,F,N,HU2016_006
2017,MMD,BFF,Tiszta szívvel,F,N,HU2016_003
2017,MMD,BFF,#Sohavégetnemérős,F,N,HU2016_004
2017,MMD,BDF,Soul Exodus,D,A,HU2016_012
2017,MMD,BDF,Kocsis – Intim megvilágításban,D,N,HU2016_017
2016,MMD,BFF,"Liza, a rókatündér",F,A,HU2015_002
2016,MMD,BFF,Anyám és más futóbolondok a családból,F,N,HU2015_004
2016,MMD,BFF,VAN valami furcsa és megmagyarázhatatlan,F,N,HU2014_003
2016,MMD,BDF,Anyám levelei Sztálin elvtársnak,D,N,HU2015_019
2016,MMD,BDF,Tititá,D,N,HU2015_014
2019,EFA,BF,The Favourite,F,A,GB2019_094
2019,EFA,BF,J'accuse,F,N,FR2019_187
2019,EFA,BF,Dolor y Gloria,F,N,ES2019_003
2019,EFA,BF,Systemsprenger,F,N,DE2019_081
2019,EFA,BF,Il traditore,F,N,IT2019_008
2019,EFA,BDF,La scomparsa di mia madre,D,N,IT2019_059
2019,EFA,BAF,J'ai perdu mon corps,A,N,FR2019_182
2019,EFA,BAF,Les Hirondelles de Kaboul,A,N,FR2019_147
2018,EFA,BF,Dogman,F,N,IT2018_012
2018,EFA,BF,Lazzaro felice,F,N,IT2018_035
2018,EFA,BDF,Egy nő fogságban,D,N,HU2019_019
2018,EFA,BDF,El silencio de otros,D,N,ES2018_012
2018,EFA,BAF,Early man,A,N,GB2018_077
2018,EFA,BAF,Croc-Blanc,A,N,FR2018_058
2024,DF,BF,Der Fuchs,F,N,DE2023_042
2024,DF,BF,Die Theorie von Allem,F,N,DE2023_097
2024,DF,BDF,Anselm - Das Rauschen der Zeit,D,N,DE2023_090
2023,DF,BF,Das Lehrerzimmer,F,A,DE2023_047
2023,DF,BF,Holy Spider,F,N,DE2023_001
2023,DF,BF,"Wann wird es endlich wieder so, wie es nie war",F,N,DE2023_019
2023,DF,BDF,Elfriede Jelinek – Die Sprache von der Leine lassen,D,A,DE2022_095
2022,DF,BF,Lieber Thomas,F,A,DE2021_070
2022,DF,BF,Rabiye Kurnaz gegen George W. Bush,F,N,DE2022_025
2022,DF,BF,Contra,F,N,DE2021_064
2022,DF,BF,Wunderschön,F,N,DE2022_003
2022,DF,BDF,Wem gehört mein Dorf?,D,N,DE2021_032
2021,DF,BF,Ich bin dein Mensch,F,A,DE2021_008
2021,DF,BF,Fabian oder Der Gang vor die Hunde,F,N,DE2021_020
2021,DF,BF,Curveball,F,N,DE2021_038
2021,DF,BF,Je suis Karl,F,N,DE2021_042
2021,DF,BF,Schachnovelle,F,N,DE2021_044
2021,DF,BF,Und morgen die ganze Welt,F,N,DE2020_068
2021,DF,BDF,Herr Bachmann und Seine Klasse,D,A,DE2021_040
2021,DF,BDF,Walchensee Forever,D,N,DE2021_059
2020,DF,BF,Systemsprenger,F,A,DE2019_081
2020,DF,BF,Berlin Alexanderplatz,F,N,DE2020_040
2020,DF,BF,Es gilt das gesprochene Wort,F,N,DE2019_066
2020,DF,BF,Lara,F,N,DE2019_102
2020,DF,BF,Lindenberg! Mach dein Ding,F,N,DE2020_004
2020,DF,BF,Undine,F,N,DE2020_036
2020,DF,BDF,Heimat ist ein Raum aus Zeit,D,N,DE2012_082
2019,DF,BF,Gundermann,F,A,DE2018_071
2019,DF,BF,Der Junge muss an die frische Luft,F,N,DE2018_115
2019,DF,BF,Transit,F,N,DE2018_034
2018,DF,BF,3 Tage in Quiberon,F,A,DE2018_036
2018,DF,BF,Aus dem Nichts,F,N,DE2017_103
2018,DF,BF,Western,F,N,DE2017_074
2018,DF,BF,Der Hauptmann,F,N,DE2018_025
2018,DF,BF,In den Gängen,F,N,DE2018_053
2018,DF,BF,Das schweigende Klassenzimmer,F,N,DE2018_021
2018,DF,BDF,Beuys,D,A,DE2017_044
2017,DF,BF,Toni Erdmann,F,A,DE2016_072
2017,DF,BF,24 Wochen,F,N,DE2016_091
2017,DF,BF,Tschick,F,N,DE2016_086
2017,DF,BF,Willkommen bei den Hartmanns,F,N,DE2016_112
2016,DF,BF,Der Staat gegen Fritz Bauer,F,A,DE2015_094
2016,DF,BF,Herbert,F,N,DE2016_030
2016,DF,BF,4 Könige,F,N,DE2015_119
2016,DF,BF,A Hologram for the King,F,N,DE2016_042
2016,DF,BF,Er ist wieder da,F,N,DE2015_098
2016,DF,BF,Grüsse aus Fukushima,F,N,DE2016_029
2016,DF,BDF,Democracy - Im Rausch der Daten,D,N,DE2015_114
2016,DF,BDF,Was heißt hier Ende? Der Filmkritiker Michael Althen,D,N,DE2015_064
2015,DF,BF,Victoria,F,A,DE2015_062
2015,DF,BF,Zeit der Kannibalen,F,N,DE2014_049
2015,DF,BF,Im Labyrinth des Schweigens,F,N,DE2014_109
2015,DF,BF,Who Am I - Kein System ist sicher,F,N,DE2014_084
2015,DF,BF,Wir sind jung. Wir sind stark.,F,N,DE2015_006
2015,DF,BDF,Nowitzki. Der perfekte Wurf,D,N,DE2014_082
2014,DF,BDF,Beltracchi - Die Kunst der Fälschung,D,A,DE2014_021
2021,EFA,BF,The Father,F,N,GB2021_005
2021,EFA,BF,The Hand of God,F,N,IT2021_056
2021,EFA,BF,Titane,F,N,FR2021_036
2021,EFA,BDF,Mr Bachmann and His Class,D,N,DE2021_040
2020,EFA,BF,Berlin Alexanderplatz,F,N,DE2020_040
2020,EFA,BF,Undine,F,N,DE2020_036
2020,EFA,BAF,Josep,A,A,FR2020_075
2020,EFA,BAF,Klaus,A,N,ES2019_012
2020,EFA,BDF,Collective,D,A,RO2020_002
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
