film_id,nat_title,film_genre
ES2022_024,Reyes contra Santa,CHI
ES2022_025,"Por los pelos, una historia de autoestima",COM
ES2022_026,Héroes de barrio,COM
ES2022_026,Héroes de barrio,CHI
ES2022_026,Héroes de barrio,SPO
ES2022_027,Sintiéndolo mucho,DPA
ES2022_027,Sintiéndolo mucho,DPE
ES2022_027,Sintiéndolo mucho,MUS
ES2022_028,Cerdita,HOR
ES2022_028,Cerdita,THR
ES2022_029,Venus,HOR
ES2022_029,Venus,FAN
ES2022_030,Objetos,NOI
ES2022_030,Objetos,THR
ES2022_031,La piel del tambor,CRI
ES2022_031,La piel del tambor,THR
ES2022_031,La piel del tambor,ACT
ES2022_032,Live Is Life,DRA
ES2022_032,Live Is Life,COM
ES2022_032,Live Is Life,COA
ES2022_033,Vasil,DRA
ES2022_033,Vasil,COM
ES2022_034,Girasoles silvestres,DRA
ES2022_035,El mundo es vuestro,COM
ES2022_035,El mundo es vuestro,ACT
ES2022_036,No mires a los ojos,DRA
ES2022_036,No mires a los ojos,THR
ES2022_037,"Un año, una noche",DRA
ES2022_038,Lobo Feroz,DRA
ES2022_038,Lobo Feroz,DTH
ES2022_038,Lobo Feroz,THR
ES2022_038,Lobo Feroz,HOR
ES2022_039,Llegaron de noche,DRA
ES2022_039,Llegaron de noche,HIS
ES2022_039,Llegaron de noche,THR
ES2022_040,Todos lo hacen,COM
ES2022_040,Todos lo hacen,THR
ES2022_040,Todos lo hacen,DTH
ES2022_041,La voluntaria,DRA
ES2022_042,El vasco,COM
ES2022_042,El vasco,DRA
ES2022_043,Unicorn Wars,WAR
ES2022_043,Unicorn Wars,FAN
ES2022_043,Unicorn Wars,HOR
ES2022_044,La maniobra de la tortuga,THR
ES2022_044,La maniobra de la tortuga,NOI
ES2022_045,El beso de Dios,DPA
ES2022_045,El beso de Dios,DPE
ES2022_046,Petra de San José,HIS
ES2022_046,Petra de San José,BIO
ES2022_046,Petra de San José,DRA
ES2022_047,La consagración de la primavera,DRA
ES2022_048,El fred que crema,DRA
ES2022_048,El fred que crema,THR
ES2022_048,El fred que crema,HIS
ES2022_049,"Espejo, Espejo",COM
ES2022_050,75 días,DRA
ES2022_050,75 días,HIS
ES2022_050,75 días,DTH
ES2022_051,La cima,DRA
ES2022_051,La cima,ADV
ES2022_051,La cima,SPO
ES2022_052,El comensal,DRA
ES2022_052,El comensal,THR
ES2022_053,No somos nada,DPA
ES2022_053,No somos nada,MUS
ES2022_054,Sin ti no puedo,DRA
ES2022_054,Sin ti no puedo,THR
ES2022_055,En otro lugar,ROM
ES2022_055,En otro lugar,COM
ES2022_056,El universo de Óliver,COA
ES2022_056,El universo de Óliver,FAN
ES2022_056,El universo de Óliver,DRA
ES2022_057,Toscana,COM
ES2022_057,Toscana,CRI
ES2022_057,Toscana,THR
ES2022_058,Las paredes hablan,DPE
ES2022_058,Las paredes hablan,DPA
ES2022_059,Las cartas perdidas,DPE
ES2022_060,La jefa,DRA
ES2022_060,La jefa,THR
ES2022_061,O Corpo Aberto,HOR
ES2022_061,O Corpo Aberto,DRA
ES2022_061,O Corpo Aberto,THR
ES2022_062,Mendiak 1976,DPA
ES2022_062,Mendiak 1976,SPO
ES2022_063,En temporada baja,COM
ES2022_064,Rainbow,COA
ES2022_064,Rainbow,FAN
ES2022_064,Rainbow,DRA
ES2022_065,HollyBlood,COM
ES2022_065,HollyBlood,ROM
ES2022_065,HollyBlood,HOR
ES2022_065,HollyBlood,COA
ES2022_066,La Piedad,HOR
ES2022_066,La Piedad,DRA
ES2022_066,La Piedad,EXP
ES2022_066,La Piedad,FAN
ES2022_067,Los Negros,DPE
ES2022_067,Los Negros,DEX
ES2022_068,A las mujeres de España. María Lejárraga,DPE
ES2022_068,A las mujeres de España. María Lejárraga,DPA
ES2022_068,A las mujeres de España. María Lejárraga,BIO
ES2022_069,Sinjar,DRA
ES2022_070,Pico Reja,DPA
ES2022_070,Pico Reja,DPE
ES2022_071,Mi vacío y yo,COM
ES2022_071,Mi vacío y yo,DRA
ES2022_071,Mi vacío y yo,ROM
ES2022_072,Jacinto,HOR
ES2022_073,El que sabem,DRA
ES2022_073,El que sabem,ROM
ES2022_073,El que sabem,COA
ES2022_074,La pasajera,HOR
ES2022_074,La pasajera,ROA
ES2022_075,Donde acaba la memoria,DPA
ES2022_075,Donde acaba la memoria,ROA
ES2022_076,Edén,DRA
ES2022_076,Edén,THR
ES2022_077,Parias de la tierra,DPA
ES2022_077,Parias de la tierra,DEX
ES2022_078,Ciudad de la Selva. Fuxidos y guerrilleros en los montes de Casaio,DPA
ES2022_079,La paradoja de Antares,SCI
ES2022_079,La paradoja de Antares,DRA
ES2022_080,Cantando en las azoteas,DOB
ES2022_081,Viejos,HOR
ES2022_082,El radioaficionado,DRA
ES2022_083,La vida más larga,DOB
ES2022_084,"Matrioskas, Las niñas de la guerra",DPA
ES2022_085,Nightclubbing: The Birth of Punk Rock in NYC,DPA
ES2022_085,Nightclubbing: The Birth of Punk Rock in NYC,MUS
ES2022_086,"Tequila. Sexo, drogas y rock and roll",DPA
ES2022_086,"Tequila. Sexo, drogas y rock and roll",BIO
ES2022_087,La memoria escondida,DPA
ES2022_088,Francesca i l'Amor,DOB
ES2022_088,Francesca i l'Amor,ROM
ES2022_089,Oswald. El falsificador,DPA
ES2022_089,Oswald. El falsificador,DPE
ES2022_090,Inmotep,THR
ES2022_091,Con los años que me quedan,ROA
ES2022_091,Con los años que me quedan,COM
ES2022_091,Con los años que me quedan,CRI
ES2022_092,El crítico,DPA
ES2022_092,El crítico,MET
ES2022_093,Me cuesta hablar de mí,DPA
ES2022_093,Me cuesta hablar de mí,MET
ES2022_093,Me cuesta hablar de mí,BIO
