film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,assisted_mobility
ES2019_051,Be Happy! (the musical),ES2019_051_02,Minnie Marx,3,F,,WWE,MC,,AB,
ES2019_051,Be Happy! (the musical),ES2019_051_03,Siân Phillips,4,F,,WWE,MC,,AB,
ES2019_051,Be Happy! (the musical),ES2019_051_04,Vicky Peña,3,F,,WWE,MC,,AB,
ES2019_052,Love Me Not,ES2019_052_01,Francesc Orella,3,M,HE,WWE,UM,EM,AB,
ES2019_058,Enterrados,ES2019_058_01,José Antonio Lobato,2,M,,WWE,LM,EM,AB,
ES2019_058,Enterrados,ES2019_058_02,Manuel Pizarro,2,M,,WWE,LM,EM,AB,
ES2019_060,La primera cita,ES2019_060_01,Isabel Ampudia,2,F,HE,WWE,MC,,PD,
ES2019_060,La primera cita,ES2019_060_02,Sebastián Haro,2,M,HE,WWE,MC,EM,AB,
ES2019_060,La primera cita,ES2019_060_03,Mercedes Hoyos,2,F,HE,WWE,MC,,AB,
ES2019_060,La primera cita,ES2019_060_04,Bruto Pomeroy,3,M,,WWE,UM,EM,AB,
ES2019_061,Sense sostre,ES2019_061_01,Teresa Vallicrosa,3,F,,WWE,,,,
ES2019_061,Sense sostre,ES2019_061_02,José María Blanco,4,M,,WWE,,,,
ES2019_064,"Yo, mi mujer y mi mujer muerta",ES2019_064_01,Oscar Martínez,3,M,HE,WLA,MC,RE,AB,
ES2019_064,"Yo, mi mujer y mi mujer muerta",ES2019_064_02,Pedro Álvarez-Ossorio,3,M,,WWE,,,AB,
ES2019_065,"522. Un gato, un chino y mi padre",ES2019_065_01,João Lagarto,3,M,,WWE,,,,
ES2019_065,"522. Un gato, un chino y mi padre",ES2019_065_02,José Neto,3,M,,WWE,,,,
ES2019_067,Ojos Negros,ES2019_067_01,Inés Paricio,4,F,HE,WWE,MC,RE,CI,
ES2019_069,La noche de las dos lunas,ES2019_069_01,María Barranco,2,F,HE,WWE,MC,,AB,
ES2019_069,La noche de las dos lunas,ES2019_069_02,Juan Jesús Valverde,3,M,,WWE,MC,EM,AB,
ES2019_070,Viva la vida,ES2019_070_01,Lola Moltó,3,F,HE,WWE,MC,,AB,
ES2019_070,Viva la vida,ES2019_070_02,Guillermo Montesinos,3,M,HE,WWE,MC,,PD,
ES2019_071,La estrategia del pequinés,ES2019_071_01,Lorenza Machín,4,F,,WWE,LM,,AB,
ES2019_071,La estrategia del pequinés,ES2019_071_02,Pep Jové,3,M,,WWE,UM,SE,AB,
ES2019_072,"¡Ay, mi madre!",ES2019_072_01,María Alfonsa Rosso,4,F,HE,WWE,MC,,AB,
ES2019_072,"¡Ay, mi madre!",ES2019_072_02,Terele Pávez,4,F,HE,WWE,MC,,CI,
ES2019_073,Sanfelices,ES2019_073_01,Julio Arnau Catalá,3,M,HE,WWE,MC,RE,AB,
ES2019_073,Sanfelices,ES2019_073_02,Flora López,3,F,HE,WWE,MC,RE,PD,
ES2019_074,Diecisiete,ES2019_074_01,Lola Cordón,4,F,HE,WWE,MC,RE,CI,
ES2019_075,Elisa y Marcela,ES2019_075_01,Francesc Orella,3,M,HE,WWE,LM,EM,AB,
ES2019_075,Elisa y Marcela,ES2019_075_02,Manuel Lourenzo,4,M,HE,WWE,MC,EM,AB,
ES2019_075,Elisa y Marcela,ES2019_075_03,Lluís Homar,3,M,,WWE,UM,EM,AB,
ES2019_076,La Banda,ES2019_076_01,Enric Benavent,3,M,HE,WWE,MC,,AB,
ES2019_076,La Banda,ES2019_076_02,Inma Sancho,2,F,HE,WWE,MC,,AB,
ES2019_077,Me llamo Gennet,ES2019_077_01,Miriam Díaz Aroca,2,F,HE,WWE,UM,UN,CI,
ES2019_077,Me llamo Gennet,ES2019_077_02,Ángela Molina,3,F,,WWE,UM,UN,AB,
ES2019_077,Me llamo Gennet,ES2019_077_03,Micky Molina,2,M,,WWE,MC,EM,AB,
ES2019_078,La vida sense la Sara Amat,ES2019_078_01,Francesca Piñón,3,F,HE,WWE,LM,,AB,
ES2019_078,La vida sense la Sara Amat,ES2019_078_02,Jordi Figueras,2,M,HE,WWE,LM,,AB,
ES2019_079,Barcelona 1714,ES2019_079_01,Àlex Casanovas,2,M,,WWE,UM,EM,AB,
ES2019_079,Barcelona 1714,ES2019_079_02,Juanjo Puigcorbé,3,M,,WWE,UC,SE,AB,
ES2019_080,Sordo,ES2019_080_01,Imanol Arias,2,M,HE,WWE,MC,EM,AB,
ES2019_080,Sordo,ES2019_080_02,Manuel de Blas,4,M,HE,WWE,UM,EM,AB,
ES2019_080,Sordo,ES2019_080_03,Antonio Dechent,2,M,HE,WWE,UM,EM,AB,
