person_id,person_name,person_nat
,Alexandre Astier,FR
,Alexandre Bustillo,FR
,Alexandre Castagnetti,FR
,Alexandre Coffre,FR
,Alexandre Debanne,FR
,Alexandre de La Patellière,FR
,Alexandre Espigares,ES
,Alexandre Espigares,LU
,Alexandre Ferrini,FR
,Alexandre Jollien,CH
,Alexandre Poncet,FR
,Alexandre von Sivers,BE
,Alexandrina Halic,RO
,Alexandru Belc,RO
,Alexandru Bindea,RO
,Alexandru Dabija,RO
,Alexandru Georgescu,RO
,Alexandru Lustig,RO
,Alexandru Mavrodineanu,RO
,Alexandru Repan,RO
,Alexa Povah,GB
,Alex Brendea,RO
,Àlex Casanovas,ES
,Alex Coteț,RO
,Álex de la Iglesia,ES
,Alex Descas,FR
,Alex Ferguson,GB
,Alex Holmes,GB
,Alexia Walther,CH
,Alex Infascelli,IT
,Alexis Cahill,IT
,Alexis Díaz Pimienta,CU
,Alexis Langlois,FR
,Alexis Michalik,FR
,Alexis Morante,ES
,Alex Jennings,GB
,Álex López,ES
,Alex Lutz,FR
,Alex Norton,GB
,Alex Schaad,DE
,Alexs Stadermann,AU
,Alex Stepney,GB
,Alfeo Carnelutti,IT
,Alfonso Albacete,ES
,Alfonso Cortés-Cavanillas,ES
,Alfonso Delgado,ES
,Alfonso Guerra,ES
,Alfonso Kint,ES
,Alfonso Sánchez,ES
,Alfonso Santagata,IT
,Alfonso Ungría,ES
,Alfonso Zarauza,ES
,Alfred George Bailey,GB
,Alfredo Carrasco Alonso,ES
,Alfredo Castro,CL
,Alfredo Fiorillo,IT
,Alfredo Zamora,ES
,Alfred Sauter,DE
,Algis Arlauskas,ES
,Al Gore,US
,Ali Abbasi,IR
,Alice Agneskirchner,DE
,Alice Botté,FR
,Alice Cooper,US
,Alice Diop,FR
,Alice Krige,ZA
,Alice Rohrwacher,IT
,Alice Troughton,GB
,Alice Winocour,FR
,Alicia Sánchez,ES
,Alida Valli,IT
,Alina Grigore,RO
,Alireza Golafshan,IR
,Alireza Khatami,IR
,Alireza Khatami,US
,Ali Samadi Ahadi,DE
,Ali Samadi Ahadi,IR
,Alison Dowling,MA
,Alison Peebles,GB
,Alison Steadman,GB
,Alistair Findlay,GB
,Álkis Panagiotidis,GR
,Allan Mauduit,FR
,Allan Melia,
,Almudena Carracedo,ES
,Almudena Grandes,ES
,Almut Zilcher,AT
,Alonso Posadas,ES
,Alun Armstrong,GB
,Álvaro Báguena,ES
,Álvaro de Luna,ES
,Álvaro Díaz Lorenzo,ES
,Álvaro Fernández Armero,ES
,Álvaro Gago Díaz,ES
,Alvaro Gradella,IT
,Alvaro Lombard,FR
,Álvaro Longoria,ES
,Álvaro Roig,ES
,Álvaro Uribe,CO
,Álvaro Urquijo,ES
,Alvaro Vitali,IT
,Alvia Reale,IT
,Amalia Ciolan,RO
,Amanda Barrie,GB
,Amanda Bearse,US
,Amanda Donohue,GB
,Amanda Lear,FR
,Amanda Plummer,US
,Amanda Sthers,FR
,Amandine Fredon,FR
,Ambra Principato,IT
,Ambrogio Lo Giudice,IT
,Amélie Ravalec,FR
,Amer Hlehel,
,Amidou (Hamidou Benmessaoud),FR
,Amira Ghazalla,EG
,Aml Ameen,GB
,Amor Hakkar,DZ
,Amos Gitai,IL
,Amparo Climent,ES
,Amparo Fernández,ES
,Amparo Moreno,ES
,Amparo Muñoz,ES
,Amparo Pamplona,ES
,Amparo Soler Leal,ES
,Amparo Valle,ES
,Amro Hamzawi,FR
,Amy Madigan,US
,Ana Belén,ES
,Ana Ciontea,RO
,Ana Dumitrescu,FR
,Ana Dumitrescu,RO
,Ana Fernández,ES
,Ana Goya,ES
,Ana Guardione,ES
,Anah Ruddin,GB
,Anais Straumann-Lévy,FR
,Anaïs Volpé,FR
,Ana L. Martín,ES
,Ana Labordeta,ES
,Ana Messuti,AR
,Ana Murugarren,ES
,Ana Obregón,ES
,Ana Pérez-Lorente,ES
,Ana Ramón Rubio,ES
,Ana Schulz,ES
,Ana Schulz,DE
,Anas Khalaf,SY
,Anastasia Mikova,FR
,Anatol Regnier,DE
,Anatol Schuster,DE
,Ana Torrent,ES
,Ana Victoria Pérez,ES
,Ana Wagener,ES
,Anca Damian,RO
,Anca Miruna Lazarescu,RO
,Anca Sigartău,RO
,Anca Sigartău,RO
,Ander Iriarte,ES
,Ander Landaburu,ES
,Andi,DE
,Andie MacDowell,US
,Andoni Ferreño,ES
,Andor Lukáts,HU
,András Ambrus,HU
,András Ambrus,RO
,András Bálint,HU
,András Balogh,HU
,András Csapó,HU
,András Demeter,HU
,András Demeter,RO
,András Faragó,HU
,András Fésős,HU
,András Hatházi,HU
,András Hatházi,RO
,András Jeles,HU
,András Kécza,HU
,András Koltai,HU
,András Schlanger,HU
,András Sólyom,HU
,András Stohl,HU
,András Vetró,HU
,András Vetró,RO
,Andrea Adriatico,IT
,Andrea Bacci,FR
,Andrea Barone,
,Andréa Bescond,FR
,Andrea Bettinetti,IT
,Andrea Block,FR
,Andrea Bocelli,IT
,Andrea Brusa,IT
,Andrea Bruschi,IT
,Andrea Coombs,GB
,Andrea Di Stefano,IT
,Andrea Eckert,AT
,Andrea Fadenti,IT
,Andréa Ferréol,FR
,Andréa Ferréol,FR
,Andrea Gropplero,IT
,Andrea Ladányi,HU
,Andrea Luka Zimmerman,DE
,Andrea Mazzarella,IT
,Andrea Niada,IT
,Andrea Paco Mariani,IT
,Andrea Pallaoro,IT
