person_id,person_name,person_nat
,Bernd Michael Lade,DE
,Bernd Moss,DE
,Bernd Stegemann,DE
,Bernhard Braunstein,AT
,Bernhard Koch,DE
,Bernhard Marsch,DE
,Bernhard Schütz,DE
,Bernhard Völger,DE
,Bernice Stegers,GB
,Bernie Ecclestone,GB
,Bertalan Bagó,HU
,Berth Wesselmann,DE
,Bertie Ahern,IE
,Bertrand Blier,FR
,Bertrand Burgalat,FR
,Bertrand Guerry,FR
,Bertrand Hagenmüller,FR
,Bertrand Mandico,FR
,Beth Stevens,US
,Bettina Böhler,DE
,Bettina Devin,US
,Bettina Kaminski,AT
,Bettina Krug,DE
,Bettina Wegner,DE
,Betty Pedrazzi,IT
,Bhagwandas Patel,IN
,Biagio Izzo,IT
,Bibbe Hansen,US
,Biff Blumfumgagnge,US
,Bill Bruford,GB
,Bille August,DK
,Bill Fellows,GB
,Bill Gates,US
,Billie Jean King,US
,Billie Piper,GB
,Bill Jones,GB
,Bill Mockridge,CA
,Bill Nighy,GB
,Bill Novak,
,Bill Patterson,GB
,Bill Pullman,US
,Bill Rieflin,US
,Bill Wyman,GB
,Billy Idol,GB
,Billy Murray,GB
,Billy Ocean,GB
,Bingen Mendizábal,ES
,Bing Yin,FR
,Birgit Schulz,DE
,Biyouna,DZ
,Bjarne Henriksen,DK
,Björn Borg,SE
,Björn Granath,SE
,Björn Runge,SE
,Bjørn Floberg,NO
,Bjørn Melhus,DE
,Blacker Dread,GB
,Blanca Apilánez,ES
,Blanca Portillo,ES
,Blandine Lenoir,FR
,Blixa Bargeld,DE
,Blythe Danner,US
,Bob Bowersox,US
,Bobby Gillespie,GB
,Bob Geldof,IE
,Bob Goody,GB
,Bob Gruen,US
,Bob Messini,IT
,Bob Paine,US
,Bodo Ramelow,DE
,Bogdan Bradu,RO
,Bogdan Dreyer,RO
,Bogdan Dumitrescu,RO
,Bogdan George Apetri,RO
,Bogdan Iordachioiu,RO
,Bo Gritz,US
,Bohdan Beniuk,UA
,Bojena Horackova,CZ
,Bojina Panayotova,FR
,Bonifacio Angius,IT
,Bono,IE
,Bora Dagtekin,DE
,Borek Slezácek,CZ
,Bori Péterfy,HU
,Boris Bergman,GB
,Boris Isaković,RS
,Boris Isaković,RS
,Boris Lojkine,FR
,Boris Pétric,FR
,Boris Ruiz,ES
,Borja Casani,ES
,Börje Lundberg,SE
,Bouli Lanners,BE
,Bouraouïa Marzouk,FR
,Branko Samarovski,SE
,Branko Đurić,BA
,Branko Đurić,SI
,Brenda Blethyn,UK
,Brenda Chapman,US
,Brendan Gleeson,IE
,Brendan O'Carroll,IE
,Brenda Vaccaro,US
,Brett Hadley,US
,Brett Harvey,CA
,Brian Bovell,GB
,Brian Cox,GB
,Brian Croucher,GB
,Brian Eno,GB
,Brian Kidd,GB
,Brian May,GB
,Brian Protheroe,GB
,Brice Fournier,FR
,Brid Brennan,GB
,Brigitte Auber,FR
,Brigitte Aubry,FR
,Brigitte Busquet,FR
,Brigitte Catillon,FR
,Brigitte Chamarande,FR
,Brigitte Drodtloff,DE
,Brigitte Drodtloff,RO
,Brigitte Fontaine,FR
,Brigitte Fossey,FR
,Brigitte Kramer,DE
,Brigitte Kren,AT
,Brigitte Masure,FR
,Brigitte Roüan,FR
,Brigitte Sy,FR
,Brigitte Virtudes,FR
,Brillante Mendoza,PH
,Bruce Dern,US
,Bruce Greenwood,US
,Bruce Payne,GB
,Bruce Swedien,US
,Bruno Bigoni,IT
,Bruno Bilotta,IT
,Bruno Cariello,IT
,Bruno Cariello,IT
,Bruno Cathomas,CH
,Bruno Chiche,FR
,Bruno Cremer,BE
,Bruno Di Marcello,IT
,Bruno Dumont,FR
,Bruno Eyron,DE
,Bruno Ganz,CH
,Bruno Georis,BE
,Bruno Jonas,AT
,Bruno Lochet,FR
,Bruno López,FR
,Bruno Moynot,FR
,Bruno Oliviero,IT
,Bruno Podalydès,FR
,Bruno Raffaelli,FR
,Bruno Solo,FR
,Bruno Todeschini,CH
,Bruno Vienne,FR
,Bruno Watara,TG
,Bruno Wolkowitch,FR
,Bruto Pomeroy,ES
,Bryan Cranston,US
,Bryan Murray,IE
,Buda Gulyás,HU
,Buddy Giovinazzo,US
,Buddy Guy,US
,Bud Spencer,IT
,Bujar Alimani,AL
,Bulle Ogier,FR
,Bunny Wailer,JM
,Burghart Klaußner,DE
,Burhan Qurbani,DE
,Butz Ulrich Buse,DE
,Børge Brende,NO
,C. Martín Ferrera,ES
,Caetano Veloso,BR
,Caitlin Dulany,US
,Callum Macrae,GB
,Cal MacAninch,GB
,Camelia Popa,RO
,Camille de Casabianca,FR
,Camille Lotteau,FR
,Camille Ponsin,FR
,Campbell Scott,US
,Campino,DE
,Candice Patou,FR
,Can Togay,HU
,Cara Chase,GB
,Carine May,FR
,Carine Roitfeld,FR
,Carine Tardieu,FR
,Carinne Coisman,FR
,Carinthia West,GB
,Carl-A. Fechner,DE
,Carla Cassola,IT
,Carla Gravina,IT
,Carla Signoris,IT
,Carla Simón,ES
,Carla Sozzani,IT
,Carla Sozzani,IT
,Carles Flavià,ES
,Carles Francino,ES
,Carl Hegemann,DE
,Carl Heinz Choynski,US
,Carl Heinz Choynski,US
,Carl Medland,GB
,Carlo Brandt,CH
,Carlo Buccirosso,IT
,Carlo De Marchis,IT
,Carlo Hintermann,IT
,Carlo Luglio,IT
,Carlos Andrés Morelli,UY
,Carlos Antonio Lozada,CO
,Carlo Sarti,IT
,Carlos Bardem,ES
,Carlos Boyero,ES
,Carlos Brito,BR
,Carlos Chahine,LB
,Carlos Fernández de Vigo,ES
,Carlos Garcia Piedra,ES
,Carlos Henrique Raposo,BR
,Carlos Hipólito,ES
,Carlos Iglesias,ES
,Carlos Manuel Díaz,ES
,Carlos Martínez López,ES
,Carlos Mora Fuentes,ES
,Carlos Navarro,ES
,Carlos Olalla,ES
,Carlos Portaluppi,AR
,Carlos Saura,ES
,Carlos Slepoy,AR
,Carlota Nelson,AR
,Carlota Nelson,SE
,Carlota Pereda,ES
,Carlotta,
,Carlotta Berti,IT
,Carlo Valli,IT
,Carlo Verdone,IT
,Carl Solomon,US
,Carl Weathers,US
,Carl Wharton,GB
,Carme Elías,ES
,Carmela García,ES
,Carmelo Gómez,ES
,Carmen Carrión,ES
,Carmen Castillo,CL
,Carmen Elena Belaschk,
,Carmen Esteban,ES
,Carmen Garrido,ES
,Carmen Linares,ES
,Carmen Machi,ES
,Carmen-Maja Antoni,DE
,Carmen Maura,ES
,Carmen Posadas,UY
,Carmen Rodríguez,ES
,Carmen Tănase,RO
,Carme Sansa,ES
,Carme Tarte Vilardell,ES
,Carmina Barrios,ES
,Carol Alt,US
,Carola Stagnaro,IT
,Carole Bouquet,FR
,Carole Franck,FR
,Carole Trévoux,FR
,Carolina Hellsgård,SE
,Caroline Breton,FR
,Caroline Burns Cooke,GB
,Caroline Cellier,FR
,Caroline Chaniolleau,FR
,Caroline Fourest,FR
,Caroline Link,DE
,Caroline Schreiber,DE
,Caroline Silhol,FR
,Caroline Vignal,FR
,Carolin Schmitz,DE
,Carol Kane,US
,Carol MacReady,GB
,Carol Morley,GB
,Carol Polakoff,US
,Cary-Hiroyuki Tagawa,JP
,Cary Joji Fukunaga,US
,Catalina Mesa,FR
,Cătălin Bugean,RO
,Cătălin Cățoiu,RO
,Cătălin Mitulescu,RO
,Cătălin Saizescu,RO
,Cătălin Tolontan,RO
,Caterina Bueno,IT
,Caterina Caselli,IT
,Catherine Allégret,FR
,Catherine Arditi,FR
,Catherine Carteret,FR
,Catherine Corsini,FR
,Catherine Davenier,FR
,Catherine Deneuve,FR
,Catherine Ferran,FR
,Catherine Frot,FR
,Catherine Gandois,FR
,Catherine Hardwicke,US
,Catherine Hiegel,FR
,Catherine Hosmalin,FR
,Catherine Jacob,FR
,Catherine Lafond,FR
,Catherine Lurie,
,Catherine Mouchet,FR
,Catherine Rouvel,FR
,Catherine Salviat,FR
,Catherine Samie,FR
,Catherine Spaak,BE
,Catherine Wilkening,FR
,Cathy Breeze,GB
,Cathy Horyn,US
,Catrin Striebeck,AT
,Cécile Besnault,FR
,Cécile Denjean,FR
,Cécile Ducrocq,FR
,Cécile Guilbert,FR
,Cecilia Bârbora,RO
,Cecilia Bartolomé,ES
,Cecília Felméri,HU
,Cecília Felméri,RO
,Cecilia Mangini,IT
,Cecilia Roth,AR
,Cécilia Rouaud,FR
,Cédric Anger,FR
,Cédric Jimenez,FR
,Cédric Kahn,FR
,Cédric Klapisch,FR
,Cédric Le Gallo,FR
,Celia Eseverri,ES
,Celia Imrie,GB
,Céline Devaux,FR
,Celine Pouillon,FR
,Celso Bugallo,ES
,Celso Parada,ES
,Cerasela Iosifescu,RO
,César Cadaval,ES
,Cesare Bocci,IT
,Cesáreo Estébanez,ES
,Cesare S. Cremonini,IT
,César Martínez Herrada,ES
,César Oliva,ES
,César Sabater,ES
,César Tormo,ES
,Cesc Gay,ES
,Cezara Dafinescu,RO
,Chantal Garrigues,FR
,Chantal Ladesou,FR
,Chantal Lauby,FR
,Chantal Neuwirth,FR
,Chanya Button,GB
,Charles Aznavour,AM
,Charles Berling,FR
,Charles Brauer,DE
,Charles Dance,FR
,Charles Dubois,FR
,Charles Garrad,GB
,Charles Schneider,FR
,Charlie O'Leary,IE
,Charlie Paul,GB
,Charlie Watts,GB
,Charline Bourgeois-Tacquet,FR
,Charlotte Colbert,GB
,Charlotte Dauphin,FR
,Charlotte de Turckheim,FR
,Charlotte Gainsbourg,FR
,Charlotte Rampling,GB
,Charlotte Schwab,CH
,Charlotte Silvera,FR
,Charly Hübner,DE
,Charly Wai Feldman,CA
,Charo Izquierdo,ES
,Charo López,ES
,Chato Galante,ES
,Checco Zalone,IT
,Chelo Vivares,ES
,Chema de la Peña,ES
,Chema del Barco,ES
,Chema Rodríguez,ES
,Cherry Jones,US
,Chiara Bellosi,IT
,Chiara Sani,IT
,Chicho Castillo,ES
,Chico Buarque,BR
,Chimo Bayo,ES
,Chino Moya,ES
,Chiqui Carabante,ES
,Chloé Mazlo,FR
,Chraz,FR
,Chris Amoo,GB
,Chris Barritt,GB
,Chris Bearne,GB
,Chris Bonington,GB
,Chris Crow,GB
,Chris Ellis,US
,Chris Foggin,GB
,Chris Imberdis,FR
,Chris Kimsey,GB
,Chris Lomme,BE
,Chris Miera,DE
,Chris Salewicz,GB
,Chrissie Hynde,US
,Christa Krikula,DE
,Chris Tates,NL
,Christian Abart,FR
,Christian Alvart,DE
,Christian Ammermüller,DE
,Christian Benedetti,FR
,Christian Berkel,DE
,Christian Boltanski,FR
,Christian Bouillette,FR
,Christian Bruhn,DE
,Christian Bujeau,FR
,Christian Buse,DE
,Christian Carion,FR
,Christian Clavier,FR
,Christian Crahay,BE
,Christian De Sica,IT
,Christian Dieterle,DE
,Christian Duguay,CA
,Christiane Blumhoff,DE
,Christiane Hessel-Chabry,FR
,Christiane Millet,FR
,Christiane Ostermayer,DE
,Christiane Spiero,FR
,Christiane Ziehl,DE
,Christian Gonon,FR
,Christian Grashof,DE
,Christian Haas,US
,Christian Hecq,FR
,Christian Hoening,DE
,Christian Jeanpierre,FR
,Christian Kaiser,CH
,Christian Klandt,DE
,Christian Koch,DE
,Christian Koerner,DE
,Christian Kuchenbuch,DE
,Christian Lerch,DE
,Christian Lerch,DE
,Christian Louboutin,FR
,Christian Monnier,FR
,Christian Morin,FR
,Christian Pätzold,DE
,Christian Petzold,DE
,Christian Philibert,FR
,Christian Redl,DE
,Christian Schäfer,DE
,Christian Schneller,DE
,Christian Schwochow,DE
,Christian Sinniger,FR
,Christian Steyer,DE
,Christian Theede,DE
,Christian Vadim,FR
,Christian Werner,DE
,Christian Zanési,FR
,Christina Ebelt,DE
,Christine Angot,FR
,Christine Boisson,FR
,Christine Choueiri,LB
,Christine Citti,FR
,Christine Errath,DE
,Christine Gagnepain,FR
,Christine Jensen,DE
,Christine Kruchen,DE
,Christine Murillo,FR
,Christine Schorn,CZ
,Christine Schorn,DE
,Christof Wackernagel,DE
,Christophe,FR
,Christophe Alévêque,FR
,Christophe Barratier,FR
,Christophe Blanc,FR
,Christophe Bourseiller,FR
,Christoph Eder,DE
,Christophe Duthuron,FR
,Christophe Hamon,FR
,Christophe Honoré,FR
,Christophe Karabache,FR
,Christophe Lambert,FR
,Christophe Le Masne,FR
,Christophe Loizillon,FR
,Christophe Malavoy,FR
,Christophe Maurer,US
,Christophe Odent,FR
,Christophe Offenstein,FR
,Christopher Buchholz,US
,Christopher Dunne,IE
,Christophe Régin,FR
,Christopher Fairbank,GB
,Christopher Frayling,GB
,Christopher Fulford,GB
,Christopher Godwin,GB
,Christopher Hawkins,
,Christopher Ian Smith,GB
,Christopher Krieg,DE
,Christopher Lee,GB
,Christopher McDonald,US
,Christopher Nolan,GB
,Christophe Rossignon,FR
,Christopher Smith,GB
,Christopher Thompson,FR
,Christopher Tourneur,FR
,Christopher Villiers,GB
,Christophe Tardy,FR
,Christoph Franz,CH
,Christoph Franz,DE
,Christoph Gampl,DE
,Christoph Hein,DE
,Christoph Hochhäusler,DE
,Christoph Hübner,DE
,Christoph Kaiser,DE
,Christoph Maria Herbst,DE
,Christoph Nix,DE
,Christoph Röhl,GB
,Christoph Stölzl,DE
,Christoph Walder,FR
,Christoph Waltz,AT
,Christoph Weinert,DE
,Chrístos Stérgioglou,GR
,Christo Vladimirov Javacheff,BG
,Chrystelle Labaude,FR
,Chuck D,US
,Chuma Viscarret,ES
,Chun Mei Tan,NL
,Chus Gutiérrez,ES
,Ciarán Hinds,IE
,Cindy Crawford,US
,Cinzia Bomoll,IT
,Ciprian Mega,RO
,Ciro D'Emilio,IT
,Ciro Guerra,IT
,Ciro Scalera,IT
,Ciro Villano,IT
,Claire Bloom,GB
,Claire Chazal,FR
,Claire Denis,FR
,Claire Denis,FR
,Claire Devers,FR
,Claire King,GB
,Claire Maurier,FR
,Claire McCarthy,AU
,Claire Nadeau,FR
,Claire Roggan,DE
,Claire Ruppli,FR
,Claire Simon,FR
,Claire Skinner,GB
,Clara Martínez-Lázaro,ES
,Clara Möller,DE
,Clara Roquet,ES
,Clare Grogan,GB
,Clare Higgins,GB
,Clare Perkins,GB
,Clarke Peters,US
,Claude Aufaure,FR
,Claude Brasseur,FR
,Claude Brosset,FR
,Claude Gensac,FR
,Claude Lelouch,FR
,Claude Lévèque,FR
,Claude Mathieu,FR
,Claude Miller,FR
,Claude Perron,FR
,Claude Rich,FR
,Claude Sarraute,FR
,Claude Saussereau,FR
,Claudette Walker,FR
,Claude Zidi Jr.,FR
,Claudia Basrawi,LB
,Claudia Brosch,DE
,Claudia Cardinale,IT
,Claudia Della Seta,IT
,Clàudia Font,DE
,Claudia Geisler-Bading,DE
,Claudia Gravy,ES
,Claudia Gravy,BE
,Claudia Lehmann,DE
,Claudia Martini,DE
,Claudia Müller,DE
,Claudia Pinto,VE
,Claudine Acs,FR
,Claudio Abbiati,IT
,Claudio Amendola,IT
,Claudio Barbieri,AR
,Claudio Bigagli,IT
,Claudio Bisio,IT
,Claudio Bonivento,IT
,Claudio Caiolo,IT
,Claudio Cicconetti,IT
,Claudio Coccoluto,IT
,Claudio Collovà,IT
,Claudio Cupellini,IT
,Claudio Giovannesi,IT
,Claudio Greg Gregori,IT
,Claudio Greg Gregori,IT
,Claudio Insegno,IT
,Claudio Magris,IT
,Claudio Noce,IT
,Claudio Norza,IT
,Claudio Poli,IT
,Claudio Ripalti,IT
,Claudio Santamaria,IT
,Claudio Sestieri,IT
,Claudio Simonetti,BR
,Claudio Utrera,ES
,Claudio Zulian,IT
,Claudiu Bleonț,RO
,Claudiu Trandafir,RO
,Claus Clausen,
,Claus Drexel,DE
,Claus Wehlisch,DE
,Claus Withopf,DE
,Clémence Madeleine-Perdrillat,FR
,Clémence Massart,FR
,Clémentine Célarié,FR
,Clint Eastwood,US
,Clio Barnard,GB
,Clive Francis,GB
,Clive Merrison,GB
,Clotilde Courau,FR
,Clotilde Mollet,FR
,Clovis Cornillac,FR
,Coca Bloos,RO
,Cochi Ponzoni,IT
,Colin Bennett,GB
,Colin Blyth,GB
,Coline Dhaussy,FR
,Colin Firth,GB
,Colin McFarlane,GB
,Colin Stinton,CA
,Colm Meaney,IE
,Colm Meaney,IE
,Concha Canal,ES
,Concha Galán,ES
,Concha Velasco,ES
,Conleth Hill,GB
,Connie Sawyer,US
,Connor O'Hara,GB
,Conny Glogger,DE
,Conrad F. Geier,DE
,Constance Meyer,FR
,Constantin Codrescu,RO
,Constantin Cojocaru,RO
,Constantin Cotimanis,RO
,Constantin Drăgănescu,RO
,Constantinescu Narcis,RO
,Constantin Florescu,RO
,Constantin Hatz,AT
,Constantin Löhrmann,
,Constantin Pappas,FR
,Consuelo Solsona,ES
,Consuelo Trujillo,ES
,Copel Moscu,RO
,Coralie Fargeat,FR
,Cordula Kablitz-Post,DE
,Cordula Stratmann,DE
,Corentin Doucet,FR
,Corentin Massiot,FR
,Corey Johnson,US
,Corinna Belz,DE
,Corinna Harfouch,DE
,Corinna Kirchhoff,DE
,Corinne Cléry,FR
,Corinne Marchand,FR
,Corinne Masiero,FR
,Cornel Gheorghiță,RO
,Cornelia Froboess,DE
,Cornelia Partmann,
,Corneliu Porumboiu,RO
,Cornell John,GB
,Cornel Răileanu,RO
,Corrado Ardone,IT
,Corrado Ceron,IT
,Corrado Guzzanti,IT
,Corrado Invernizzi,IT
,Corrado Nuzzo,IT
,Cosimo Bosco,IT
,Cosimo Cinieri,IT
,Cosimo Fusco,IT
,Cosimo Fusco,IT
,Cosimo Messeri,IT
,Cosmin Dumitrache,RO
,Cosmin Micutzu Nedelcu,RO
,Cosmin P. Zaharia,RO
,Costa-Gavras,FR
,Costanza Quatriglio,IT
,Costel Cașcaval,RO
,Costin Petrescu,RO
,Covadonga Berdiñas,ES
,Craig Crosbie,GB
,Craig Fairbrass,GB
,Craig Roberts,GB
,Crenguţa Hariton,RO
,Crispin Letts,GB
,Cristiana Lionello,IT
,Cristian De Mattheis,IT
,Cristian Iacob,RO
,Cristian Ilișuan,RO
,Cristian Mungiu,RO
,Cristiano De André,IT
,Cristian Pârvulescu,RO
,Cristian Pepino,RO
,Cristian Radu Nema,RO
,Cristina Deleanu,RO
,Cristina Donadio,IT
,Cristina Eugenia Segura Molina,ES
,Cristina García Rodero,ES
,Cristina Groșan,HU
,Cristina Groșan,RO
,Cristina Hoyos,ES
,Cristina Ortega Blanco,ES
,Cristina Otero Roth,ES
,Cristin König,DE
,Cristóbal Fernández,ES
,Csaba Bollók,HU
,Csaba Kőrösi,HU
,Csaba Kőrösi,RO
,Csaba Martin,HU
,Csaba Szekeres,HU
,Csaba Vékes,HU
,Cuini Amelio-Ortiz,AR
,Cüneyt Kaya,DE
,Curro Albaicín,ES
,Curro Sánchez,ES
,Cynthia Hoppenfeld,US
,Cyril Gelblat,FR
,Cyrille Droux,FR
,Cyril Nri,GB
,Dacia Maraini,IT
,Dacian Cioloș,RO
,Dácil Manrique de Lara,ES
,Dagmar Lassander,DE
,Dagmar Manzel,DE
,Dagmar von Kurmin,LV
,Daisy Aitkens,GB
,Damian McCann,IE
,Damiano D'Innocenzo,IT
,Damiano Giacomelli,IT
,Damiano Michieletto,IT
,Damien Boyer,FR
,Damien Carême,FR
,Damien Manivel,FR
,Damien Roz,FR
,Damir Lukačević,CR
,Dana Bunescu,RO
,Dana Dembinski Medeleanu,RO
,Dana Dogaru,RO
,Dana Ivey,US
,Dana Voicu,RO
,Dan Berry,US
,Dan Cadan,GB
,Dan Chiorean,RO
,Dan Chișu,RO
,Dan Clark,GB
,Dan Condurache,RO
,Dan Dinu,RO
,Dan Gillespie Sells,GB
,Dan Gordon,GB
,Dan Grigoraş,RO
,Dani,FR
,Dani de la Orden,ES
,Dani de la Torre,ES
,Daniela Airoldi,IT
,Daniela Fejerman,AR
,Daniela Giordano,IT
,Daniel Alfredson,SE
,Daniela Piperno,IT
,Daniela Poggi,IT
,Daniel Aráoz,AR
,Daniela Santerini,IT
,Daniel Auteuil,FR
,Daniel Benoin,FR
,Daniel Bergman,SE
,Daniel Bianco,ES
,Daniel Brühl,DE
,Daniel Brühl,ES
,Daniel Burgui Iguzkiza,ES
,Daniel Busuioc,RO
,Daniel Calparsoro,ES
,Daniel Ceccaldi,FR
,Daniel Cling,FR
,Daniel Cohen,FR
,Daniel Cohn-Bendit,FR
,Daniel Draper,GB
,Daniel Duval,FR
,Daniele Ciprì,IT
,Danièle Évenou,FR
,Daniele Gaglianone,IT
,Danièle Lebrun,FR
,Daniele Lince,IT
,Daniele Luchetti,IT
,Daniel Emilfork,CL
,Daniele Misischia,IT
,Daniele Salvo,IT
,Daniele Vicari,IT
,Daniel Faraldo,US
,Daniel Freire,AR
,Daniel Goldenberg,FR
,Daniel Graham,AU
,Daniel Guzmán,ES
,Daniel Hanssens,BE
,Daniel Jerome Gill,GB
,Daniel Kupferstein,FR
,Daniel Kurtzer,US
,Danielle Arbid,FR
,Danielle Darrieux,FR
,Danielle Fichaud,CA
,Daniel Leloux,FR
,Daniel Lommatzsch,DE
,Daniel Lovecchio,AR
,Daniel Martin,FR
,Daniel Medrán,ES
,Daniel Mesguich,FR
,Daniel Pennac,FR
,Daniel Plier,LU
,Daniel Plier,RO
,Daniel Pommereulle,FR
,Daniel Prévost,FR
,Daniel Richter,DE
,Daniel Roby,CA
,Daniel Rohr,CH
,Daniel Russo,FR
,Daniel Sánchez Arévalo,ES
,Daniel Sandu,RO
,Daniel Selznick,US
,Dániel Tiszeker,HU
,Daniel Wild,
,Daniel Zelik Berk,
,Dani Levy,CH
,Dan Nuțu,RO
,Danny Boyle,GB
,Danny García,ES
,Danny Glover,US
,Danny Hiller,
,Danny Huston,US
,Danny Stack,IE
,Danny Trejo,US
,Danny Vinson,US
,Danny Webb,GB
,Dan Tudor,RO
,Dany Boon,FR
,Daphna Rosenthal,PS
,Daphne Charizani,GR
,Daria Deflorian,IT
,Dario Aguirre,EC
,Dario Albertini,IT
,Dario Argento,IT
,Darío Autrán,ES
,Dario Cantarelli,IT
,Darío Grandinetti,AR
,Dario Marconcini,IT
,Darrell D'Silva,GB
,Darry Cowl,FR
,Darshan Jariwala,IN
,Dave,NL
,Dave Bald Eagle,US
,Dave Broom,GB
,Dave Fennoy,US
,Dave Johns,GB
,Dave Mclean,GB
,Dave Mounfield,GB
,Dave Smith,GB
,Dave Turner,GB
,Dave Willetts,UK
,David Attenborough,GB
,David Austin,GB
,David Baalcke,DE
,David Bamber,GB
,David Bennent,CH
,David Bradley,GB
,David Brandon,IE
,David Caviglioli,FR
,David Clatworthy,ZA
,David Diane,FR
,David Dietl,US
,David Duchovny,US
,David Dufresne,FR
,Davide Bonacina,IT
,Davide Dal Fiume,IT
,Davide Ferrario,IT
,David Elmaleh,FR
,Davide Marotta,IT
,Davide Minnella,IT
,Davide Pulici,IT
,David Ernaux-Briot,FR
,Davide Rossi,IT
,Davide Scovazzo,IT
,David Essex,GB
,David Field,AU
,David Fielder,GB
,David Foenkinos,FR
,David Galán Galindo,ES
,David Gasman,US
,David Gilmour,GB
,David Graham,GB
,David Hargreaves,GB
,David Hasselhoff,US
,David Hayman,GB
,David Hebrero,ES
,David Hernández,ES
,David Horovitch,GB
,David Jackson,GB
,David Kerr,GB
,David L.G. Hughes,GB
,David Lynch,US
,David Mambouch,FR
,David Marqués,ES
,David Martín de los Santos,ES
,David Martín Porras,ES
,David Moreau,FR
,David Morrissey,GB
,David O'Flynn,GB
,David O'Leary,GB
,David Oelhoffen,FR
,David Pasquesi,US
,David Perrault,FR
,David Pujol,ES
,David Raven,GB
,David Roux,FR
,David Schaal,US
,David Schofield,GB
,David Shaughnessy,GB
,David Sieveking,DE
,David Stavros Onassis,GB
,David Sterne,GB
,David Strathairn,US
,David Summer,GB
,David Talbot,US
,David Teboul,FR
,David Thewlis,GB
,David Thomson,GB
,David Troughton,GB
,David Trueba,ES
,David Valero,ES
,David Vital-Durand,FR
,David Warner,GB
,David Wilkinson,GB
,David Wnendt,DE
,David Yates,GB
,Dean Benzin,
,Dean Craig,GB
,Debbie Tarrier,GB
,Deborah Findlay,GB
,Deborah Grover,CA
,Deborah Haywood,GB
,Declan Lynch,IE
,Deepak Anand,IN
,Deepa Mehta,CA
,Deepti Naval,IN
,Dena Dietrich,US
,Dénes Orosz,HU
,Denis Delestrac,FR
,Denise Black,GB
,Denise Chalem,FR
,Denise Dal Vera,US
,Denise Welch,GB
,Denis Imbert,FR
,Denis Lavant,FR
,Denis Mpunga,BE
,Denis Mpunga,CG
,Denis Podalydès,FR
,Denis Rabaglia,CH
,Dennis Dellai,IT
,Dennis Gansel,DE
,Dennis Harbour,GB
,Dennis Kleimann,DE
,Dennis Muren,US
,Dennis Ross,US
,Dennis Stormer,DE
,Denzil Smith,GB
,Denzil Smith,IN
,Derek Jacobi,GB
,Dermot Lavery,
,Dermot Mulroney,US
,Derren Nesbitt,GB
,Des Casey,IE
,Désirée Nick,DE
,Désirée Nosbusch,LU
,Des McAleer,GB
,Detlef Bierstedt,DE
,Detlef Bothe,DE
,Detlev Buck,DE
,Dewi Morris,GB
,Dey Young,US
,Dezső Rancsó,HU
,Dezső Rancsó,SK
,Diana Dumbravă,RO
,Diana Rigg,GB
,Diane Keaton,US
,Diane Kurys,FR
,Dianna Agron,US
,Diastème,FR
,Di Botcher,GB
,Dick Clement,GB
,Dick Fontaine,GB
,Dick Gregory,US
,Dick Rivers,FR
,Didier Barcelo,FR
,Didier Bénureau,FR
,Didier Bezace,FR
,Didier Bourdon,FR
,Didier Bourguignon,FR
,Didier Brice,FR
,Didier D. Daarwin,FR
,Didier Flamand,FR
,Didier Ruiz,FR
,Didier Sandre,FR
,Didier Sauvegrain,FR
,Didier Van Cauwelaert,FR
,Didier Wampas,FR
,Diego Abatantuono,IT
,Diego Carli,IT
,Diego Galán,ES
,Diego Martínez,AR
,Diego Ribon,IT
,Diego Schiavo,IT
,Dieter Bachmann,DE
,Dieter Hallervorden,DE
,Dieter Schaad,DE
,Dietmar Bär,DE
,Dietrich Adam,DE
,Dietrich Brüggemann,DE
,Dietrich Kuhlbrodt,DE
,Diet Simon,DE
,Dieudo Hamadi,CO
,Dilip Varma,FR
,Dilly Barlow,GB
,Dilva Ragazzini,IT
,Dimitri Andreas,
,Dina Doron,IL
,Dino Abbrescia,IT
,Dino Meneghin,IT
,Dinu Tănase,RO
,Diogo Dória,PT
,Dirk Böhling,DE
,Dirk Sager,DE
,Djamel Bensalah,FR
,Djamel Bensalah,DZ
,Djemel Barek,DZ
,Djimon Hounsou,BJ
,Doina Ghiţescu,RO
,Dolina MacLennan,GB
,Domenico Ciolfi,IT
,Domenico Croce,IT
,Domenico Distilo,IT
,Domenico Fortunato,IT
,Dominic Dromgoole,GB
,Dominic Mafham,GB
,Dominik Galizia,DE
,Dominik Graf,DE
,Dominik Moll,FR
,Dominik Wessely,DE
,Dominique Abel,BE
,Dominique Baumard,FR
,Dominique Besnehard,FR
,Dominique Blanc,FR
,Dominique Choisy,FR
,Dominique Collignon-Maurin,FR
,Dominique Daguier,FR
,Dominique Frot,FR
,Dominique Gautier,FR
,Dominique Hollenstein,DE
,Dominique Horwitz,DE
,Dominique Horwitz,FR
,Dominique Labourier,FR
,Dominique Lavanant,FR
,Dominique Marchais,FR
,Dominique Paturel,FR
,Dominique Pinon,FR
,Dominique Reymond,FR
,Dominique Rocher,FR
,Dominique Rozan,FR
,Dominique Sanda,FR
,Dominique Valadié,FR
,Dominique Varma,FR
,Dominique Vidal,FR
,Dominique Zardi,FR
,Dom Lenoir,GB
,Donald Sutherland,CA
,Donata Wenders,DE
,Donato Carrisi,IT
,Don Letts,GB
,Don McCullin,GB
,Don McKellar,CA
,Donna Personna,US
,Doon Mackichan,GB
