year,award,category,name,result,yob,age,gender,film,film_id,character_id,person_id
2016,GOYA,BD,Juan Antonio Bayona,A,1975,41,M,A Monster Calls,ES2016_001,,
2016,GOYA,BD,Pedro Almodóvar,N,1949,67,M,Julieta,ES2016_005,,
2016,GOYA,BD,Alberto Rodríguez,N,1971,45,M,El hombre de las mil caras,ES2016_004,,
2016,GOYA,BD,Rodrigo Sorogoyen,N,1981,35,M,Que Dios nos perdone,ES2016_009,,
2015,GOYA,BAM,Ricardo Darín,A,1957,58,M,Truman,ES2015_004,ES2015_004_01,
2015,GOYA,BSAM,Felipe García Vélez,N,1957,58,M,A cambio de nada,ES2015_009,ES2015_009_02,
2015,GOYA,BSAM,Tim Robbins,N,1958,57,M,A perfect day,ES2015_007,ES2015_007_01,
2015,GOYA,BSAF,Luisa Gavasa,A,1951,64,F,La novia,ES2015_010,ES2015_010_01,
2015,GOYA,BD,Cesc Gay,A,1967,48,M,Truman,ES2015_004,,
2015,GOYA,BD,Paula Ortiz,N,1979,36,F,La novia,ES2015_010,,
2015,GOYA,BD,Isabel Coixet,N,1960,55,F,Nadie quiere la noche,ES2015_023,,
2015,GOYA,BD,Fernando León de Aranoa,N,1968,47,M,A perfect day,ES2015_007,,
2014,GOYA,BSAM,José Sacristán,N,1937,77,M,Magical Girl,ES2014_008,ES2014_008_01,
2023,BIFA,BLP,Tilda Swinton,N,1960,63,F,The Eternal Daughter,GB2023_014,GB2023_014_01,
2023,BIFA,BD,Raine Allen-Miller,N,1989,34,F,Rye Lane,GB2023_012,,
2022,BIFA,BLP,Bill Nighy,N,1949,73,M,Living,GB2022_008,GB2022_008_01,
2022,BIFA,BD,Oliver Hermanus,N,1983,39,M,Living,GB2022_008,,
2022,BIFA,BD,Sophie Hyde,N,1977,45,F,"Good Luck to You, Leo Grande",GB2022_007,,
2021,BIFA,BAFE,Joanna Scanlan,A,1961,60,F,After Love,GB2021_017,GB2021_017_01,
2021,BIFA,BSAM,Ciarán Hinds,N,1953,68,M,Belfast,GB2022_075,GB2022_075_02,
2021,BIFA,BSAF,Judi Dench,N,1934,87,F,Belfast,GB2022_075,GB2022_075_01,
2021,BIFA,BSAF,Nathalie Richard,N,1963,58,F,After Love,GB2021_017,GB2021_017_02,
2021,BIFA,BSAF,Tilda Swinton,N,1960,61,F,The Souvenir: Part II,GB2022_021,GB2022_021_01,
2021,BIFA,BD,Aleem Khan,A,1985,36,M,After Love,GB2021_017,,
2021,BIFA,BD,Philip Barantini,N,1980,41,M,Boiling Point,GB2022_047,,
2021,BIFA,BD,Sean Durkin,N,1981,40,M,The Nest,GB2021_061,,
2021,BIFA,BD,Joanna Hogg,N,1960,61,F,The Souvenir: Part II,GB2022_021,,
2020,BIFA,BAM,Anthony Hopkins,A,1937,83,M,The Father,GB2021_005,GB2021_005_01,
2020,BIFA,BD,Nick Rowland,N,,2020,M,Calm with Horses,GB2020_036,,
2020,BIFA,BD,Florian Zeller,N,1979,41,M,The Father,GB2021_005,,
2019,BIFA,BSAM,Hugh Laurie,A,1959,60,M,The Personal History of David Copperfield,GB2020_003,GB2020_003_01,
2019,BIFA,BSAM,Peter Mullan,N,1959,60,M,The Vanishing,GB2019_017,GB2019_017_01,
2019,BIFA,BSAF,Tilda Swinton,N,1960,59,F,The Personal History of David Copperfield,GB2020_003,GB2020_003_02,
2019,BIFA,BSAF,Julie Walters,N,1950,69,F,Wild Rose,GB2019_009,GB2019_009_01,
2019,BIFA,BD,Joanna Hogg,N,1960,59,F,The Souvenir,GB2019_016,,
2018,BIFA,BAM,Rupert Everett,N,1959,59,M,The Happy Prince,DE2018_054,DE2018_054_01,
2018,BIFA,BSAM,Steve Buscemi,N,1957,61,M,Lean on Pete,GB2018_012,GB2018_012_01,
2018,BIFA,BD,Yorgos Lanthimos,A,1973,45,M,The Favourite,GB2019_094,,
2018,BIFA,BD,Andrew Haigh,N,1973,45,M,Lean on Pete,GB2018_012,,
2018,BIFA,BD,Michael Pearce,N,1981,37,M,Beast,GB2018_074,,
2018,BIFA,BD,Lynne Ramsay,N,1969,49,F,You Were Never Really Here,GB2018_010,,
2017,BIFA,BAFE,Frances McDormand,N,1957,60,F,"Three Billboards Outside Ebbing, Missouri",GB2018_004,GB2018_004_01,
2017,BIFA,BSAM,Simon Russell Beale,A,1961,56,M,The Death of Stalin,GB2017_006,GB2017_006_02,
2017,BIFA,BSAM,Steve Buscemi,N,1957,60,M,The Death of Stalin,GB2017_006,GB2017_006_01,
2017,BIFA,BSAM,Woody Harrelson,N,1961,56,M,"Three Billboards Outside Ebbing, Missouri",GB2018_004,GB2018_004_02,
2017,BIFA,BSAF,Patricia Clarkson,A,1959,58,F,The Party,GB2017_015,GB2017_015_03,
2017,BIFA,BSAF,Julie Walters,N,1950,67,F,Film Stars Don't Die in Liverpool,GB2017_016,GB2017_016_03,
2017,BIFA,BD,Armando Iannucci,N,1963,54,M,The Death of Stalin,GB2017_006,,
2017,BIFA,BD,Francis Lee,N,1969,48,M,God's Own Country,GB2017_017,,
2017,BIFA,BD,Martin McDonagh,N,1970,47,M,"Three Billboards Outside Ebbing, Missouri",GB2018_004,,
2017,BIFA,BD,William Oldroyd,N,1979,38,M,Lady Macbeth,GB2017_029,,
2016,BIFA,BAM,Dave Johns,A,1956,60,M,"I, Daniel Blake",GB2016_007,GB2016_007_01,
2016,BIFA,BD,Ken Loach,N,1936,80,M,"I, Daniel Blake",GB2016_007,,
2015,BIFA,BAM,Tom Courtenay,N,1937,78,M,45 Years,GB2015_009,GB2015_009_02,
2015,BIFA,BAFE,Charlotte Rampling,N,1946,69,F,45 Years,GB2015_009,GB2015_009_01,
2015,BIFA,BSAM,Brendan Gleeson,A,1955,60,M,Suffragette,GB2015_005,GB2015_005_03,
2015,BIFA,BSAF,Julie Walters,N,1950,65,F,Brooklyn,GB2015_006,GB2015_006_03,
2015,BIFA,BD,Andrew Haigh,N,1973,42,M,45 Years,GB2015_009,,
2015,BIFA,BD,Justin Kurzel,N,1974,41,M,Macbeth,GB2015_029,,
2014,BIFA,BAM,Timothy Spall,N,1957,57,M,Mr. Turner,GB2014_001,GB2014_001_01,
