person_id,person_name,birth_year,death_year,gender
 ,Didier Brice,1964,,M
 ,Didier D. Daarwin,,,M
 ,Didier Flamand,1947,,M
,Didier Ruiz,1961,,M
 ,Didier Sandre,1946,,M
,Didier Sauvegrain,1950,,M
,Didier Van Cauwelaert,1960,,M
 ,Didier Wampas,1962,,M
 ,Diego Abatantuono,1955,,M
 ,Diego Carli,1961,,M
,Diego Galán,1946,2019,M
,Diego Martínez,1977,,M
 ,Diego Ribon,1960,,M
 ,Diego Schiavo,1976,,M
,Diet Simon,,,
 ,Dieter Bachmann,1952,,M
,Dieter Hallervorden,1935,,M
,Dieter Schaad,1926,2023,M
,Dietmar Bär,1961,,M
,Dietrich Adam,1953,2020,M
,Dietrich Brüggemann,1976,,M
,Dietrich Kuhlbrodt,1932,,M
 ,Dieudo Hamadi,1984,,M
 ,Dilip Varma,1955,,M
,Dilly Barlow,,,F
 ,Dilva Ragazzini,1953,,F
,Dimitri Andreas,,,M
 ,Dina Doron,1940,,F
 ,Dino Abbrescia,1966,,M
 ,Dino Meneghin,1950,,M
,Dinu Tănase,1946,,M
,Diogo Dória,1953,,M
,Dirk Böhling,1964,,M
,Dirk Sager,1940,2014,M
,Djamel Bensalah,1976,,M
 ,Djemel Barek,1963,2020,M
 ,Djimon Hounsou,1964,,M
,Doina Ghiţescu,1959,,F
,Dolina MacLennan,1938,,F
,Dom Lenoir,,,M
 ,Domenico Ciolfi,1970,,M
 ,Domenico Croce,1990,,M
 ,Domenico Distilo,1978,,M
 ,Domenico Fortunato,1962,,M
,Dominic Dromgoole,1963,,M
,Dominic Mafham,1968,,M
,Dominik Galizia,1988,,M
,Dominik Graf,1952,,M
 ,Dominik Moll,1962,,M
,Dominik Wessely,1966,,M
 ,Dominique Abel,1957,,M
 ,Dominique Baumard,,,M
 ,Dominique Besnehard,1954,,M
 ,Dominique Blanc,1956,,F
 ,Dominique Choisy,1959,,M
,Dominique Collignon-Maurin,1959,,M
 ,Dominique Daguier,1953,,M
 ,Dominique Frot,1957,,F
 ,Dominique Gautier,,,M
,Dominique Hollenstein,1962,,F
,Dominique Horwitz,1957,,M
 ,Dominique Labourier,1943,,F
 ,Dominique Lavanant,1944,,F
,Dominique Marchais,1972,,M
 ,Dominique Paturel,1931,,M
 ,Dominique Pinon,1955,,M
 ,Dominique Reymond,1957,,F
,Dominique Rocher,1983,,M
 ,Dominique Rozan,1929,,M
 ,Dominique Sanda,1951,,F
 ,Dominique Valadié,1952,,F
 ,Dominique Varma,,,F
 ,Dominique Vidal,1950,,M
 ,Dominique Zardi,1930,,M
,Don Letts,1956,,M
 ,Don McCullin,1935,,M
,Don McKellar,1963,,F
,Donald Sutherland,1935,2024,M
,Donata Wenders,1965,,F
 ,Donato Carrisi,1973,,M
,Donna Personna,1946,,TF
,Doon Mackichan,1962,,F
 ,Dora Doll,1922,,F
 ,Dora Romano,1955,,F
,Dóra Szűcs,,,F
,Doreen Mantle,1926,2023,F
,Dorel Vișan,1937,,M
 ,Dori Ghezzi,1946,,F
,Dorian Boguţă,1971,,M
,Dorin Ioniță,,,M
,Dorina Lazăr,1940,,F
,Doris Buchrucker,1952,,F
,Doris Dörrie,1955,,F
,Doris Kresimon,1955,,F
,Doris Kunstmann,1944,,F
,Doron Paz,1978,,M
,Dorothea Kyrieleis,,,F
,Dorothy Ko,1957,,F
,Dorottya Udvaros,1954,,F
,Doru Ana,1954,2022,M
,Douglas Reith,1953,,M
,Douglas Wolfsperger,1957,,M
,Dr. John,1941,2019,M
,Dragoș Buliga,,,M
,Dragoș Hanciu,1993,,M
,Dragoș Zămosteanu,,,M
,Dror Moreh,1961,,M
,Dror Zahavi,1959,,M
 ,Drusilla Foer,1967,,F
 ,Duccio Chiarini,1977,,M
,Dulcie Smart,,,F
,Dunstan Bruce,1960,,M
,Durs Grünbein,1962,,M
,Dusán Vitanovics,1964,,M
,Duska Visconti,,,F
 ,Dustin Hoffman,1937,,M
,Dylan Williams,1992,,M
,Eamon Dunphy,1945,,M
 ,Eben Alexander,1953,,M
,Eckhard Preuß,1961,,M
,Ed Herzog,1965,,M
,Ed Lilly,,,M
,Eddie Amoo,1944,2018,M
,Eddie Izzard,1962,,
,Eddie Osei,1961,,M
 ,Eddy Mitchell,1942,,M
,Edesio Alejandro,1958,,M
,Edgar Givry,1953,,M
,Edgar M. Böhlke,1940,,M
,Edgar Morin,1921,,M
,Edgar Reitz,1932,,M
,Edgar Selge,1948,,M
,Edgar Wright,1974,,M
,Edit Farkasinszky,1961,,F
,Edith Böttcher,,,F
,Edith Clever,1940,,F
,Edith Gdanietz-Jacobi,,,F
,Edith Patrouilleau,,,F
 ,Édith Scob,1937,2019,F
 ,Edoardo De Angelis,1978,,M
 ,Edoardo Falcone,1968,,M
 ,Edoardo Leo,1972,,M
 ,Edoardo Palma,1985,,M
 ,Edoardo Ponti,1973,,M
 ,Édouard Baer,1966,,M
 ,Edouard Bergeon,1982,,M
 ,Édouard Deluc,1970,,M
 ,Édouard Salier,1976,,M
,Eduard Benito,1955,,M
,Eduard Fernández,1964,,M
,Eduardo Blanco,1958,,M
,Eduardo Casanova,1991,,M
,Eduardo Cubillo,,,M
,Eduardo Gómez,1951,2019,M
,Eduardo Recabarren,,,M
 ,Eduardo Tartaglia,1965,,M
,Edward Berger,1970,,M
,Edward Hall,1966,,M
 ,Edwige Blondiau,,,F
 ,Edwige Fenech,1948,,F
 ,Edwy Plenel,1952,,M
,Egbert Soutschek,1963,,M
,Egyed Serf,1955,,M
,Eibe Maleen Krebs,1982,,F
,Eike Besuden,1948,,M
,Eileen Atkins,1934,,F
,Eileen Davies,1948,,F
,Eiry Thomas,1968,,F
,Eisi Gulp,1955,,F
,Ekrem Ergün,1979,,M
,El Gran Wyoming,1955,,M
 ,Eléa Gobbé-Mévellec,1985,,F
,Elena Alvarez Lutz,1964,,M
 ,Elena Beatrice,1987,,F
 ,Elena Callegari,,,F
 ,Elena Cantarone,1958,,F
 ,Elena Cotta,1931,,F
,Elena Irureta,1955,,F
,Elena Ivanca,1969,,F
,Elena Kizilova,,,F
,Elena Moldovan,1948,,F
,Elena Seijo,1962,,F
 ,Elena Sofia Ricci,1962,,F
,Elena Trapé,1976,,F
,Elena Uriz,1944,,F
 ,Eleonora Brown,1948,,F
 ,Eleonora Danco,1962,,F
 ,Éléonore Hirt,1919,,F
,Eleonore Weisgerber,1947,,F
,Elfriede Jelinek,1946,,M
,Eli King,,,M
 ,Eliana Bosi,1959,,F
,Elias Koteas,1961,,M
 ,Elias Sanbar,1947,,M
 ,Elia Suleiman,1960,,M
 ,Élie Semoun,1963,,M
 ,Elina Löwensohn,1966,,F
,Eline Gehring,1984,,F
 ,Elio,1961,,M
 ,Elio De Capitani,1953,,M
 ,Elio Germano,1980,,M
 ,Elio Pandolfi,1926,2021,M
,Elio Quiroga,,,M
,Elisa Crehuet,,,F
,Elisa Mishto,1978,,F
 ,Elisa Polimeni,,,F
,Élisabeth Commelin,1954,,F
 ,Élisabeth Depardieu,1941,,F
,Élisabeth Tanner,1957,,F
 ,Élisabeth Vitali,,,F
 ,Élisabeth Vogler,,,M
 ,Elisabetta De Vito,,,F
 ,Elisabetta Pellini,1974,,F
 ,Elisabetta Sgarbi,1959,,F
 ,Élise Otzenberger,,,F
,Eliza Petkova,1983,,F
,Eliza Schroeder,,,F
 ,Élizabeth Bourgine,1957,,F
,Elizabeth Counsell,1942,,F
,Elizabeth Hanna,1953,,F
,Élizabeth Martichoux,1961,,F
,Elizabeth McGovern,1961,,F
,Elizabeth Rider,1958,,F
,Elke Heidenreich,1943,,F
,Elke Twiesselmann,1927,2021,F
 ,Ella Kowalska,,,F
 ,Ellen Barkin,1954,,F
,Ellen-Ray Hennessy,1950,,F
 ,Ellénore Lœhr,,,F
,Elli Medeiros,1956,,F
 ,Elliot Jenicot,1962,,M
,Ellis Marsalis,1934,2020,M
 ,Elly Senger-Weiss,1974,,F
,Elmar Gutmann,1952,,M
,Elmar Wepper,1944,2023,M
 ,Élodie Guilbault,,,F
,Eloísa Vargas,,,F
,Éloïse Lang,1981,,F
,Eloy Arenas,1950,,M
 ,Elsa Amiel,1979,,F
,Elsa Diringer,1982,,F
 ,Elsa Wolliaston,1945,,F
 ,Elsa Zylberstein,1968,,F
,Elsie de Brauw,1960,,F
,Elton John,1947,,M
,Elvira Lindo,1962,,F
,Emanuel Pârvu,1979,,M
 ,Emanuela Rossi,1959,,F
,Emanuela von Frankenberg,1961,,F
 ,Emanuele Caruso,1985,,M
 ,Emanuele Crialese,1965,,T
 ,Emanuele Imbucci,1977,,M
 ,Emanuele Palamara,1986,,M
 ,Emanuele Scaringi,1979,,M
 ,Émérance Dubas,,,F
,Emerson Fittipaldi,1946,,M
,Emese Vasvári,1966,,F
,Emil Abossolo-Mbo,1958,,M
,Emil Boc,1966,,M
,Emil Constantinescu,1939,,M
 ,Emilia Mazzacurati,1989,,F
,Emilia Popescu,1966,,F
 ,Émilie Carpentier,,,F
 ,Émilie Frèche,1976,,F
 ,Émilie Thérond,1970,,F
 ,Emilio Belmonte,,,M
,Emilio Casares Rodicio,1943,,M
 ,Emilio De Marchi,1959,,M
,Emilio Gavira,1964,,M
,Emilio Gutiérrez Caba,1941,,M
,Emilio Linder,1949,,M
,Emilio Martínez Lázaro,1945,,M
,Emilio Mencheta,1964,,M
,Emilio Ruiz Barrachina,1963,,M
 ,Emilio Solfrizzi,1962,,M
 ,Emilio Vedova,1919,2006,M
,Emily Atef,1973,,F
 ,Emir Kusturica,1954,,M
 ,Emma Benestan,1988,,F
 ,Emma Dante,1967,,F
,Emma Rosa Simon,1977,,F
,Emma Suárez,1964,,F
,Emma Thompson,1959,,F
 ,Emmanuel Carrère,1957,,M
 ,Emmanuel Courcol,1957,,M
,Emmanuel Finkiel,1961,,M
,Emmanuel Gillibert,,,M
 ,Emmanuèle Bernheim,1955,2017,F
 ,Emmanuel Hamon,,,M
,Emmanuel Karsen,1963,,M
 ,Emmanuelle Béart,1963,,F
 ,Emmanuelle Bercot,1967,,F
 ,Emmanuelle Devos,1964,,F
 ,Emmanuelle Riva,1927,,F
 ,Emmanuelle Seigner,1966,,F
,Empar Brisa,1952,,F
,Enikő Börcsök,1968,2021,F
,Enikő Nagy,1969,,F
 ,Emmanuel Mouret,1970,,M
,Emmanuel Ostrovski,,,M
 ,Emmanuel Poulain-Arnaud,,,M
 ,Emmanuel Quatra,1963,,M
 ,Emmanuel Raquin-Lorenzi,1948,,M
 ,Emmanuel Salinger,1964,,M
 ,Emmanuel Vieilly,,,M
 ,Ennio Fantastichini,1955,2018,M
 ,Ennio Morricone,1928,2020,M
 ,Enora Boutin,,,F
,Enric Benavent,1953,,M
,Enric Ribes,,,M
 ,Enrica Bonaccorti,1949,,F
 ,Enrico Beruschi,1941,,M
 ,Enrico Brignano,1966,,M
 ,Enrico Di Giovanni,1941,,M
 ,Enrico Iannaccone,1989,,M
 ,Enrico Lando,1966,,M
,Enrico Lo Verso,1964,,M
 ,Enrico Macias,1938,,M
 ,Enrico Maria Artale,1984,,M
 ,Enrico Montesano,1945,,M
 ,Enrico Vanzina,1949,,M
 ,Enrique Carballido,1961,,M
,Enrique Cazorla,,,
,Enrique Cerezo,1948,,M
,Enrique García,,,M
,Enrique Gato,1977,,M
,Enrique González Macho,1947,,M
,Enrique San Francisco,1955,2021,M
,Enrique Simón,1959,,M
,"Enrique Villarreal ""El Drogas""",1959,,M
,Enrique Villén,1960,,M
,Enriqueta Carballeira,1944,,F
,Enzi Fuchs,1937,,F
 ,Enzo Decaro,1958,,M
,Enzo G. Castellari,1938,,M
 ,Enzo Garinei,1926,2022,M
 ,Enzo Giraldo,1961,,M
 ,Enzo Salomone,1957,,M
 ,Enzo Salvi,1963,,M
 ,Enzo Vetrano,1948,,M
,Epigmenio Rodríguez,1953,2023,M
 ,Eraldo Turra,1955,,M
,Eran Riklis,1954,,M
,Ercan Durmaz,1965,,M
,Erda Siebert,1944,,F
,Erec Brehmer,1987,,M
 ,Éric Berger,1969,,M
 ,Éric Besnard,1964,,M
 ,Éric Cantona,1966,,M
 ,Éric Caravaca,1966,,M
 ,Éric Carrière,1957,,M
,Éric Cazes,1970,,M
,Eric Clapton,1945,,M
 ,Éric Collado,1963,,M
 ,Éric De Staercke,1962,,M
,Éric Dick,,,M
 ,Éric Dupond-Moretti,1960,,M
 ,Éric Elmosnino,1964,,M
 ,Éric Fraticelli,1969,,M
 ,Éric Frey,,,M
,Eric Friedler,1971,,M
,Éric Godon,1960,,M
 ,Éric Gravel,,,M
 ,Éric Judor,1968,,M
 ,Éric Viellard,1962,,M
,Érick Zonca,1956,,M
,Erik Haffner,1976,,M
,Erik Hansen,1951,,M
,Erik Lemke,1983,,M
,Erik Novák,1968,,M
,Erik Schmitt,1980,,M
 ,Éric Laugérias,1963,,M
 ,Éric Laurent,1947,,M
 ,Éric Lavaine,1962,,M
,Éric Métayer,1958,,M
,Èric Motjer,1988,,M
 ,Éric Naggar,1957,,M
,Éric Naulleau,1961,,M
 ,Éric Neuhoff,1956,,M
,Eric Roberts,1956,,M
 ,Éric Ruf,1969,,M
 ,Éric Savin,1964,,M
 ,Éric Serre,,,M
,Eric Styles,1967,,M
 ,Éric Toledano,1971,,M
 ,Erika Blanc,1942,,F
,Erika Elizalde,,,F
,Erika Fischer-Laughlin,1954,,F
,Erika Gregor,1934,,F
,Erika Neuenfeldt,1948,,F
,Erika Pápai,1959,,F
,Erika Pluhar,1939,,F
,Erika Vanselow,,,F
 ,Eriq Ebouaney,1967,,M
,Erkan Acar,1978,,M
 ,Ermanno Casari,,,M
,Ernest Allan Hausmann,1968,,M
 ,Ernest Borgnine,1917,,M
 ,Ernesto Mahieux,1946,,M
,Ernesto Sevilla,1978,,M
,Ernő Fekete,1972,,M
,Ernst Peter Fischer,1947,,M
,Ernst Stötzner,1952,,M
 ,Ernst Zürcher,1951,,M
 ,Eros Pagni,1939,,M
 ,Eros Puglielli,1973,,M
,Errol Morris,1948,,M
,Errol Trotman Harewood,1955,,M
,Ervand Abrahamian,1940,,M
 ,Erwan Le Duc,1977,,M
,Erwin Leder,1951,,M
,Erwin van den Eshof,1976,,M
,Erzsébet Kútvölgyi,1950,,F
,Esholm Nelms,,,M
,Esperanza Elipe,1961,,F
,Esperanza Roy,1935,,F
,Estefanía Cortés,,,F
 ,Esthela Solano-Suarez,1947,,F
,Esther Álvarez,,,F
,Esther Esche,1965,,F
 ,Esther Gorintin,1913,,F
,Esther Zimmering,1977,,F
,Estibaliz Urresola Solaguren,1984,,F
,Eszter Csákányi,1953,,F
,Eszter Kiss,1971,,F
,Eszter Nagy-Kálózy,1966,,F
,Eszter Petrovics,1972,,F
 ,Étienne Chatiliez,1952,,M
 ,Étienne Chicot,1949,,M
 ,Etienne Comar,1965,,M
,Étienne Draber,1939,2021,M
,Étienne Roda-Gil,1941,2004,M
,Eugen Cristea,1952,,M
,Eugene Jarecki,1969,,M
,Eugenio Alabiso,1937,,M
,Eugenio Canevari,,,M
 ,Eugenio Cappuccio,1961,,M
,Eugenio Martín,1925,2023,M
 ,Eugenio Riccomini,1936,2023,M
,Eulàlia Ramon,1959,,F
,Eusebio Lázaro,1942,,M
,Eusebio Poncela,1945,,M
,Éva Bakos,1958,,F
,Éva Bandor,1971,,F
,Éva Bay,1952,,F
 ,Éva Darlan,1948,,F
 ,Éva Darlan,1948,,F
,Éva Fahidi,1925,2023,F
,Éva Füsti Molnár,1953,,F
 ,Eva Grimaldi,1961,,F
,Eva Horacek,1961,,F
,Eva Husson,1977,,F
,Éva Igó,1956,,F
 ,Eva Ionesco,1965,,F
,Éva Kerekes,1966,,F
,Eva Lyberten,1958,,F
,Éva Magyar,1961,,F
,Eva Mattes,1954,,F
,Eva Medusa Gühne,1961,,F
,Éva Rebecca Kovács,1969,,F
 ,Eva Robins,1958,,T
,Eva Trobisch,1983,,F
,Éva Vándor,1953,,F
,Eva Vila,1975,,F
,Eva Vizcarra,,,
,Eva Weber,,,F
,Eva Weißenborn,1954,,F
,Eva-Maria Kurz,1944,2023,F
,Evamarie Scheibe,1937,,F
 ,Evandro Fornasier,1962,,M
,Evaristo Páramos,1960,,M
,Eve Pearce,1929,2023,F
 ,Eve Sussman,1961,,F
,Eve Wood,,,F
,Eveline Hall,1945,,F
,Evelyn Schels,1955,,F
 ,Évelyne Bouix,1953,,F
,Evelyne Buyle,1948,,F
 ,Evelyne Buyle,1948,,F
,Évelyne Didi,1949,,F
 ,Évelyne Leclercq,1951,,F
,Evgeny Chepurnyak,1959,,M
,Evru,1946,,M
,Ewald Flemming,,,M
,Ewan Bailey,1966,,M
 ,Ezio Greggio,1954,,M
,Ezzatollah Ramazanifar,1944,,M
 ,F,1956,,M
,F. Javier Gutiérrez,1973,,M
 ,F. Murray Abraham,1939,,M
,F.J. Arranz,,,M
,F.J. Ossang,1956,,M
 ,Fabien Gorgeart,1976,,M
,Fabien Hagege,1991,,M
 ,Fabien Moine,,,M
 ,Fabienne Babe,1962,,F
 ,Fabienne Berthaud,1966,,F
 ,Fabienne Godet,1964,,F
 ,Fabien Onteniente,1958,,M
,Fabien Rabin,,,M
 ,Fabio D'Innocenzo,1988,,M
 ,Fabio De Luigi,1967,,M
 ,Fabio Ferrari,1959,,M
,Fabio Frizzi,1951,,M
 ,Fabio Gravina,1965,,M
 ,Fabio Massa,1984,,M
 ,Fabio Mollo,1980,,M
 ,Fabio Resinaro,1980,,M
 ,Fabio Sartor,1954,,M
 ,Fabio Testi,1941,,M
 ,Fabrice Bracq,,,M
 ,Fabrice Garçon,,,M
 ,Fabrice Luchini,1951,,M
 ,Fabrice Maruca,,,M
 ,Fabrizio Bentivoglio,1957,,M
 ,Fabrizio Cardinali,1953,,M
 ,Fabrizio De André,1940,1999,M
 ,Fabrizio Gifuni,1966,,M
 ,Fabrizio Maria Cortese,1970,,M
 ,Falilou Seck,1966,,M
,Falk Rockstroh,1958,,M
 ,Famke Janssen,1964,,F
,Fanni Szilágyi,1986,,F
 ,Fanny Ardant,1949,,F
 ,Fanny Cottençon,1957,,F
 ,Fanny Liatard,,,F
,Fares Helou,1961,,M
 ,Farid Bentoumi,1976,,M
,Farida Khelfa,1960,,F
 ,Farida Ouchani,1967,,F
 ,Fatsah Bouyahmed,1971,,M
 ,Fausto Brizzi,1968,,M
 ,Fausto Leali,1944,,M
 ,Faye Dunaway,1941,,F
,Fedele Papalia,1959,,M
 ,Federica Biondi,,,F
 ,Federico Alotto,,,M
 ,Federico Bondi,1975,,M
 ,Federico Moccia,1963,,M
 ,Felicitè Mbezelè,1960,,F
 ,Felicity Montagu,1960,,F
,Felipe García Vélez,1957,,M
,Felipe González,,,M
,Felipe Lipe,,,M
,Felix Binder,1977,,M
 ,Félix de Azúa,1944,,M
 ,Félix Moati,1990,,M
,Felix Moeller,1965,,M
,Félix Sabroso,1965,,M
 ,Félix Vazquez,1977,,M
,Félix Viscarret,1975,,M
,Felix von Boehm,1986,,M
,Felix von Manteuffel,1945,,M
,Felix Vörtler,1961,,M
 ,Féodor Atkine,1948,,M
,Ferdinand Dörfler,1969,,M
,Ferenc Borbiczki,1957,,M
,Ferenc Dalnoky,,,M
,Ferenc Haber,1944,,M
,Ferenc Lengyel,1961,,M
,Ferenc Mezei,1951,,M
 ,Fereshteh Sadre Orafaiy,1962,,F
,Ferhat Keskin,1967,,M
,Férid Boughedir,1944,,M
 ,Fermí Fernández,1963,,M
,Fermí Reixach,1946,2024,M
,Fernando Albizu,1963,,M
,Fernando Álvarez-Uría,1947,,M
,Fernando Arribas,1940,2021,M
,Fernando Cayo,1968,,M
 ,Fernando Colomo,1946,,M
,Fernando Conde,1952,,M
,Fernando Egozcue,1959,,M
 ,Fernando Esteso,1945,,M
,Fernando Franco,1976,,M
 ,Fernando González Gómez,1984,,M
 ,Fernando González Molina,1975,,M
,Fernando Guillén Cuervo,1963,,M
,Fernando León de Aranoa,1968,,M
,Fernando Marías,1949,,M
,Fernando Marrot,,,M
,Fernando Méndez-Leite,1944,,M
,Fernando Moraleda,1963,,M
,Fernando Morán,1949,,M
,Fernando Sánchez Dragó,1936,2023,M
,Fernando Savater,1947,,M
,Fernando Tejero,1967,,M
,Fernando Trueba,1955,,M
,Fernando Ustarroz,1953,,M
 ,Fernando Vera,1975,,M
 ,Ferran Adrià,1962,,M
,Ferran Lahoz,1957,,M
,Ferran Rañé,1950,,M
 ,Ferruccio Soleri,1929,,M
 ,Ferzan Ozpetek,1959,,M
,Fettouma Bouamari,1940,,F
 ,Filippo Conz,,,M
 ,Filippo Meneghetti,1980,,M
,Filomena Gigante,1957,,F
,Fina Dómenech,,,F
,Finbar Lynch,1959,,M
,Finn Christoph Stroeks,1985,,M
 ,Fiona Gordon,1957,,F
,Fiona Shaw,1958,,F
 ,Fionnula Flanagan,1941,,F
,Fiorella Faltoyano,1950,,F
 ,Fioretta Mari,1942,,F
 ,Firmine Richard,1947,,F
,Fish,1958,,M
,Fiz Marcus,,,F
,Flaminia Cinque,1964,,F
 ,Flavio Briatore,1950,,M
,Flood,1960,,M
 ,Flora López,,,F
,Florence Giorgetti,1943,2019,F
 ,Flor Baena,,,F
 ,Florence Miailhe,1956,,F
 ,Florence Pernel,1962,,F
 ,Florence Thomassin,1966,,F
 ,Florent Gouëlou,,,M
,Florian Aigner,1978,,M
,Florian David Fitz,1974,,M
,Florian Frerich,,,M
,Florian Gallenberger,1972,,M
,Florian Havemann,1952,,M
,Florian Heinzen-Ziob,1984,,M
,Florian Henckel von Donnersmarck,1973,,M
 ,Florian Hessique,1987,,M
,Florian Hoffmann,1987,,
,Florian Martens,1958,,M
,Florian Ross,1982,,M
,Florian Sigl,1988,,M
,Florian Westermann,,,M
 ,Florian Zeller,1979,,M
,Florin Busuioc,1962,,M
,Florin Kevorkian,1970,,M
,Florin Șerban,1975,,M
,Florin Zamfirescu,1949,,M
 ,Forest Whitaker,1961,,M
,Forouzan Jamshidnejad,1967,,F
 ,Fosforito,1932,,M
,Fran Torres,,,M
 ,Franca Deni,1948,,F
,Frances Barber,1958,,F
,Frances Le Tissier,,,F
,Frances McDormand,1957,,F
,Frances O'Connor,1967,,F
,Francesc Albiol,1957,,M
 ,Francesc Orella,1957,,M
,Francesca Annis,1945,,F
 ,Francesca Archibugi,1960,,F
,Francesca Llopis,1956,,F
 ,Francesca Piñón,1963,,F
 ,Francesca Vettori,1957,,F
 ,Francesca Zerbetto,1970,,F
 ,Francesc Martínez-Soria,1934,2023,M
 ,Francesco Acquaroli,1962,,M
 ,Francesco Albanese,1975,,M
 ,Francesco Amato,1978,,M
 ,Francesco Baccini,1960,,M
 ,Francesco Barilli,1943,,M
 ,Francesco Bellomo,1963,,M
 ,Francesco Bruni,1961,,M
 ,Francesco Carnesecchi,1984,,M
 ,Francesco Carrozzini,1982,,M
 ,Francesco Catarinolo,1980,,M
 ,Francesco Cinquemani,1967,2024,M
 ,Francesco Colangelo,1968,,M
 ,Francesco Conversano,1952,,M
 ,Francesco Corsi,,,M
 ,Francesco Costabile,1980,,M
 ,Francesco De Gregori,1951,,M
 ,Francesco Fanuele,1988,,M
 ,Francesco Fei,1967,,M
 ,Francesco Gagliardi,1974,,M
 ,Francesco Giuffrè,1972,,M
 ,Francesco Mandelli,1979,,M
 ,Francesco Miccichè,1966,,M
 ,Francesco Pannofino,1958,,M
 ,Francesco Paolantoni,1956,,M
 ,Francesco Patierno,1964,,M
 ,Francesco Pividori,1989,,M
 ,Francesco Prisco,1976,,M
 ,Francesco Ranieri Martinotti,1954,,M
 ,Francesco Zippel,1979,,M
 ,Franchin Don,,,M
 ,Francine Bergé,1938,,F
,Francine Lorin-Bazquez,1961,,F
 ,Francisco Calvo Serraller,1948,2018,M
 ,Francisco Casares,1941,,M
,Francisco Domínguez,,,M
,Francisco Nápoli,,,M
,Francisco Vaquero Robustillo,1985,,M
 ,Francis Ford Coppola,1939,,M
,Francis Fourcou,1955,,M
 ,Francis Gendron,,,M
 ,Francis Ginibre,1959,,M
 ,Francis Hallé,1938,,M
 ,Francis Huster,1947,,M
,Francis Lee,1969,,M
,Francis Leplay,1967,,M
 ,Francis Perrin,1947,,M
,Francis Rangoajane,,,M
 ,Franck Adrien,1964,,M
 ,Franck Dubosc,1963,,M
,Franck Gastambide,1978,,M
 ,Franck Landron,1957,,M
,Franck Llopis,1968,,M
 ,Franck Pitiot,1964,,M
,Franck Renaud,,,M
 ,Franco Angeli,1949,,M
 ,Franco Barbero,1944,,M
 ,Franco Castellano,1957,,M
,Franco Ferrini,1944,,M
 ,François Armanet,1951,,M
 ,François Arnal,1924,,M
 ,François Berléand,1952,,M
 ,François Busnel,1969,,M
 ,François Caron,1959,,M
 ,François Chattot,1953,,M
 ,François Cluzet,1955,,M
 ,François Creton,1964,,M
 ,François Desagnat,1973,,M
 ,Françoise Arnoul,1931,,F
 ,Françoise Bertin,1925,,F
,Françoise Cadol,1963,,F
 ,Françoise Fabian,1933,,F
 ,Françoise Hardy,1944,2024,F
 ,Françoise Lebrun,1944,,F
 ,Françoise Pinkwasser,1957,,F
 ,François-Éric Gendron,1954,,M
,François-Régis Jeanne,1976,,M
 ,Françoise Seigner,1928,,F
,Françoise Widhoff,1944,,F
 ,François Favrat,,,M
 ,François Fehner,,,M
,François Frappier,1953,,M
 ,François Lalande,1930,,M
 ,François Levantal,1960,,M
 ,François Levantal,1960,,M
,François Loriquet,1964,,M
 ,François Marthouret,1943,,M
 ,François Morel,1959,,M
 ,François Négret,1966,,M
 ,François Ozon,1967,,M
 ,François Perrot,1924,,M
,François Prévôt-Leygonie,1967,,M
,François Rollin,1953,,M
 ,François Rostain,1950,,M
 ,François Ruffin,1975,,M
 ,François Stuck,1960,,M
 ,François Theurier,,,M
 ,François Uzan,,,M
 ,François-Xavier Destors,1986,,M
 ,Franco Nero,1941,,M
 ,Franco Oppini,1950,,M
 ,Franco Pinelli,1956,,M
 ,Franco Ravera,1960,,M
 ,Franka Potente,1974,,F
,Frankie Oatway,1961,,M
,Franz Bairlein,1952,,M
,Franz Westner,1952,,M
,Franz Xaver Gernstl,1951,,M
,Franz-Jürgen Zigelski,1941,,M
,Franziska Ritter,1964,,F
,Franziska Stünkel,1973,,F
,Franziska Traub,1962,,F
,Frauke Finsterwalder,1975,,F
 ,Frank Ariza,1981,,M
,Frank Bellocq,1977,,M
 ,Frank Cassenti,1945,2023,M
 ,Frank Cimière,,,M
,Frank Feys,1965,,M
 ,Frank Finlay,1926,,M
,Frank Harper,1962,,M
 ,Frank Langella,1938,,M
,Frank McCusker,1967,,M
,Frank O'Sullivan,1954,,M
,Frank Röth,1959,,M
,Frank Thomas,,,M
,Frank W. Ritter,1960,,M
,Frank Wierke,1968,,M
,Frank Williams,1942,2021,M
,Frank Zander,1942,,M
 ,Frazer Hines,1944,,M
 ,Fred Cavayé,1967,,M
,Fred Pearson,1936,,M
 ,Frédéric Bouraly,1960,,M
 ,Frédéric Cerdal,1944,,M
 ,Frédéric Farrucci,,,M
 ,Frédéric Forestier,1969,,M
 ,Frédéric Videau,1964,,M
,Frederick Lau,1989,,M
 ,Frederick Wiseman,1930,,M
 ,Frédéric Lenoir,1962,,M
,Frédéric Merlo,1957,,M
,Frédéric Norbert,1953,,M
 ,Frédéric Petitjean,1969,,M
 ,Frédéric Pierrot,1960,,M
 ,Frédéric Plénard,,,M
 ,Frédéric Quiring,,,M
 ,Frédéric Tellier,,,M
 ,Frédéric van den Driessche,1956,,M
 ,Frédérique Bedos,1971,,F
 ,Frédérique Tirmont,1950,,F
,Fridtjof Ryder,,,M
,Frieder Schlaich,1961,,M
,Frieder Venus,1950,,M
,Friederike Frerichs,1944,,M
,Friedrich Liechtenstein,1956,,M
 ,Fred Scott,,,M
