person_id,person_name,birth_year,death_year,gender
 ,Alessandra Panaro,1930,2019,F
 ,Alessandro Bardani,1983,,M
 ,Alessandro Bencivenga,,,M
 ,Alessandro Benvenuti,1950,,M
 ,Alessandro Bressanello,1948,,M
 ,Alessandro Capitani,1980,,M
 ,Alessandro Colizzi,1962,,M
 ,Alessandro Comodin,1982,,M
 ,Alessandro Garilli,1985,,M
 ,Alessandro Gassmann,1965,,M
 ,Alessandro Gazale,1961,,M
 ,Alessandro Genovesi,1973,,M
 ,Alessandro Haber,1947,,M
 ,Alessandro Ingrà,1974,,M
 ,Alessandro Marzullo,1989,,M
 ,Alessandro Negrini,,,M
 ,Alessandro Paci,1964,,M
 ,Alessandro Pondi,1972,,M
 ,Alessandro Roja,1978,,M
 ,Alessandro Rossellini,1963,,M
 ,Alessandro Rossetto,1963,,M
 ,Alessandro Siani,1975,,M
 ,Alessandro Tamburini,1954,,M
 ,Alessandro Valenti,1973,,M
 ,Alessio Boni,1966,,M
 ,Alessio Cremonini,1973,,M
 ,Alessio Di Cosimo,1985,,M
 ,Alessio Lauria,1980,,M
 ,Alessio Maria Federici,1976,,M
,Alex Brendea,1987,,M
 ,Alex Stepney,1942,,M
,Alexa Karolinski,1984,,F
,Alexa Povah,,,F
 ,Alexander Abaturov,1984,,M
,Alexander Bălănescu,1954,,M
,Alexander Berner,1966,,M
,Alexander Dannenberg,1967,,M
,Alexander E. Fennon,1961,,M
,Alexander Gauland,1941,,M
,Alexander Kluge,1932,,M
,Alexander Liegl,1964,,M
,Alexander Lutz,1964,,M
,Alexander Nanau,1979,,M
,Alexander Radszun,1952,,M
,Alexander Schubert,1970,,M
 ,Alexandra Leclère,,,F
 ,Alexandra Pianelli,,,F
,Alexandra Sell,1968,,F
 ,Alexandra Stewart,1939,,F
 ,Alexandre Astier,1974,,M
 ,Alexandre Bustillo,1975,,M
 ,Alexandre Castagnetti,1975,,M
,Alexandre Coffre,1973,,M
 ,Alexandre Debanne,1960,,M
,Alexandre Espigares,1977,,M
,Alexandre Ferrini,,,M
 ,Alexandre de La Patellière,1971,,M
 ,Alexandre Jollien,1975,,M
 ,Alexandre Poncet,1974,,M
 ,Alexandre von Sivers,1943,,M
,Alexandrina Halic,1941,,F
,Alexandru Belc,1980,,M
,Alexandru Bindea,1957,,M
,Alexandru Dabija,1955,,M
,Alexandru Georgescu,1948,,M
,Alexandru Lustig,1986,,M
,Alexandru Mavrodineanu,1976,,M
,Alexandru Repan,1940,,M
 ,Àlex Casanovas,1964,,M
,Alex Coteț,,,M
,Álex de la Iglesia,1965,,M
 ,Alex Descas,1958,,M
 ,Alex Ferguson,1941,,M
,Alex Holmes,,,M
 ,Alexia Walther,1974,,F
,Alexis Cahill,1963,,F
,Alexis Díaz Pimienta,1966,,M
 ,Alex Infascelli,1967,,M
,Alex Jennings,1957,,M
 ,Alexis Langlois,,,M
 ,Alexis Michalik,1982,,M
,Alexis Morante,1978,,M
,Alexs Stadermann,,,M
 ,Álex López,,,M
,Alex Lutz,1978,,M
,Alex Norton,1950,,M
,Alex Schaad,1990,,M
 ,Alfeo Carnelutti,1944,,M
,Alfonso Albacete,1963,,M
 ,Alfonso Cortés-Cavanillas,,,M
,Alfonso Delgado,1960,,M
 ,Alfonso Guerra,1940,,M
 ,Alfonso Kint,1976,,M
 ,Alfonso Sánchez,1978,,M
 ,Alfonso Santagata,1947,,M
,Alfonso Ungría,1943,,M
 ,Alfonso Zarauza,1973,,M
 ,Alfred George Bailey,,,M
,Alfred Sauter,1950,,M
 ,Alfredo Carrasco Alonso,,,M
 ,Alfredo Castro,1955,,M
 ,Alfredo Fiorillo,,,M
,Alfredo Zamora,1967,,M
 ,Algis Arlauskas,1957,,M
,Ali Abbasi,1981,,M
,Ali Samadi Ahadi,1972,,M
,Alice Agneskirchner,1966,,F
 ,Alice Botté,1959,,M
,Alice Cooper,1948,,M
 ,Alice Diop,1979,,F
,Alice Krige,1954,,F
 ,Alice Rohrwacher,1981,,F
,Alice Troughton,,,F
 ,Alice Winocour,1976,,F
 ,Alicia Sánchez,1949,,F
 ,Alida Valli,1921,2006,F
,Alina Grigore,1984,,F
,Alireza Golafshan,1986,,M
,Alireza Khatami,1980,,M
,Alison Dowling,1960,,F
,Alison Peebles,1953,,F
 ,Alison Steadman,1946,,F
,Alistair Findlay,,,M
 ,Álkis Panagiotidis,1948,,M
 ,Allan Mauduit,1969,,M
 ,Allan Melia,,,M
,Almudena Carracedo,1972,,F
 ,Almudena Grandes,1960,,F
,Almut Zilcher,1954,,F
 ,Alonso Posadas,,,M
 ,Alun Armstrong,1946,,M
,Álvaro Báguena,1961,,M
 ,Álvaro de Luna,1935,2018,M
 ,Álvaro Díaz Lorenzo,1977,,M
 ,Álvaro Fernández Armero,1969,,M
,Álvaro Gago Díaz,1986,,M
 ,Alvaro Gradella,1954,,M
,Alvaro Lombard,1960,,M
,Álvaro Longoria,1968,,M
,Álvaro Roig,,,M
,Álvaro Uribe,1952,,M
,Álvaro Urquijo,1962,,M
 ,Alvaro Vitali,1950,,M
 ,Alvia Reale,1960,,F
,Amalia Ciolan,1967,,F
,Amanda Barrie,1935,,F
,Amanda Bearse,1958,,F
,Amanda Donohue,1962,,F
 ,Amanda Lear,1939,,F
,Amanda Plummer,1957,,F
 ,Amanda Sthers,1978,,F
 ,Amandine Fredon,,,F
 ,Ambra Principato,1990,,F
 ,Ambrogio Lo Giudice,1956,,M
,Amélie Ravalec,,,F
,Amer Hlehel,1953,,M
 ,Amidou (Hamidou Benmessaoud),1935,,M
,Amira Ghazalla,1960,,F
 ,Aml Ameen,1985,,M
 ,Amor Hakkar,1958,,M
 ,Amos Gitai,1950,,M
,Amparo Climent,,,F
,Amparo Fernández,1961,,F
 ,Amparo Moreno,1949,,F
 ,Amparo Muñoz,1954,,F
,Amparo Pamplona,1949,,F
 ,Amparo Soler Leal,1933,2013,F
 ,Amparo Valle,1939,2016,F
 ,Amro Hamzawi,1974,,M
,Amy Madigan,1950,,F
,An Vrombaut,,,F
 ,Ana Belén,1951,,F
,Ana Ciontea,1959,,F
 ,Ana Dumitrescu,1978,,F
 ,Ana Fernández,1965,,F
,Ana Goya,1962,,F
 ,Ana Guardione,,,F
,Ana L. Martín,,,F
,Ana Labordeta,1965,,F
,Ana Messuti,1946,,F
 ,Ana Wagener,1962,,F
,Anah Ruddin,,,F
 ,Anais Straumann-Lévy,,,F
 ,Anaïs Volpé,1988,,F
 ,Ana Murugarren,1965,,F
,Ana Obregón,1955,,F
 ,Ana Pérez-Lorente,1963,,F
 ,Ana Ramón Rubio,,,F
,Ana Schulz,,,F
,Ana Torrent,1966,,F
,Ana Victoria Pérez,,,F
 ,Anas Khalaf,,,M
 ,Ander Landaburu,1944,2022,M
,Andi,1962,,M
,Andie MacDowell,1958,,F
,Andoni Ferreño,1965,,M
,Andor Lukáts,1943,2025,M
,András Ambrus,1925,,M
,András Bálint,1943,,M
,András Balogh,1962,,M
,András Csapó,1991,,M
,András Demeter,1969,,M
,András Faragó,1964,,M
,András Fésős,1963,,M
,András Hatházi,1967,,M
,András Jeles,1945,,M
,András Kécza,1965,,M
,András Koltai,1970,,M
,András Schlanger,1961,,M
,András Sólyom,1951,,M
,András Stohl,1967,,M
,András Vetró,1948,,M
 ,Andrea Adriatico,1966,,M
,Andrea Bacci,1972,,M
 ,Andrea Barone,,,F
,Andréa Bescond,1979,,F
 ,Andrea Bettinetti,1962,,M
,Andrea Block,,,F
 ,Andrea Bocelli,1958,,M
 ,Andrea Brusa,1984,,M
 ,Andrea Bruschi,1968,,M
,Andrea Coombs,,,F
 ,Andrea Di Stefano,1972,,M
,Andrea Eckert,1958,,F
 ,Andrea Fadenti,1983,,M
 ,Andréa Ferréol,1947,,F
 ,Andréa Ferréol,1947,,F
 ,Andrea Gropplero,1963,,M
,Andrea Ladányi,1961,,F
,Andrea Luka Zimmerman,1969,,NB
 ,Andrea Mazzarella,1986,,M
 ,Andrea Niada,1988,,M
 ,Andrea Paco Mariani,1983,,M
 ,Andrea Pallaoro,1982,,M
 ,Andrea Purgatori,1953,2023,M
 ,Andrea Roncato,1947,,M
 ,Andrea Salerno,1965,,M
,Andrea Sawatzki,1963,,F
,Andrea Schramm,1968,,F
 ,Andrea Zalone,1968,,M
,Andrea Zogg,1957,,F
,Andreas Borcherding,1957,,M
,Andreas Dresen,1963,,M
,Andreas Giebel,1958,,M
,Andreas Goldstein,1964,,M
,Andreas Hüneke,1944,2024,M
,Andreas Kleinert,1962,,M
,Andreas Köhler,,,M
,Andreas Lechner,1959,,M
,Andreas Leupold,1959,,M
,Andreas Marquardt,1956,,M
,Andreas Nickl,1967,,M
,Andreas Pegler,1956,,M
,Andreas Reiner,,,M
,Andreas Schmidbauer,1990,,M
 ,Andrea Segre,1976,,M
,Andrea Sihler,1957,,F
 ,Andrea Tagliaferri,1977,,M
