year,award,category,film,f/d/a,result,film_id,,,,,,,,,,,,,,,,,,,
2019,PDD,BDF,Arrivederci Saigon,D,N,IT2018_083,,,,,,,,,,,,,,,,,,,
2019,PDD,BDF,Friedkin Uncut,D,N,IT2018_104,,,,,,,,,,,,,,,,,,,
2019,PDD,BDF,L'arte viva di Julian Schnabel,D,N, ,,,,,,,,,,,,,,,,,,,
2019,PDD,BDF,La strada dei Samouni,D,N, ,,,,,,,,,,,,,,,,,,,
2018,PDD,BF,Ammore e malavita,F,A,IT2017_017,,,,,,,,,,,,,,,,,,,
2018,PDD,BF,A Ciambra,F,N,IT2017_051,,,,,,,,,,,,,,,,,,,
2018,PDD,BF,Gatta Cenerentola,A,N,IT2017_031,,,,,,,,,,,,,,,,,,,
2018,PDD,BF,La tenerezza,F,N,IT2017_011,,,,,,,,,,,,,,,,,,,
2018,PDD,BF,"Nico, 1988",F,N, ,,,,,,,,,,,,,,,,,,,
2018,PDD,BDF,'78 - Vai piano ma vinci,D,N, ,,,,,,,,,,,,,,,,,,,
2018,PDD,BDF,Evviva Giuseppe,D,N, ,,,,,,,,,,,,,,,,,,,
2018,PDD,BDF,La lucida follia di Marco Ferreri,D,A,IT2017_112,,,,,,,,,,,,,,,,,,,
2018,PDD,BDF,Saro,D,N, ,,,,,,,,,,,,,,,,,,,
2018,PDD,BDF,The Italian Jobs: Paramount Pictures e l'Italia,D,N, ,,,,,,,,,,,,,,,,,,,
2017,PDD,BF,La pazza gioia,F,A,IT2016_006,,,,,,,,,,,,,,,,,,,
2017,PDD,BF,Fai bei sogni,F,N,IT2016_028,,,,,,,,,,,,,,,,,,,
2017,PDD,BF,Fiore,F,N, ,,,,,,,,,,,,,,,,,,,
2017,PDD,BF,Indivisibili,F,N,IT2016_038,,,,,,,,,,,,,,,,,,,
2017,PDD,BF,Veloce come il vento,F,N,IT2016_015,,,,,,,,,,,,,,,,,,,
2017,PDD,BDF,Crazy for Football,D,A, ,,,,,,,,,,,,,,,,,,,
2017,PDD,BDF,"60 - Ieri, oggi, domani",D,N, ,,,,,,,,,,,,,,,,,,,
2017,PDD,BDF,"Acqua e zucchero: Carlo Di Palma, i colori della vita",D,N, ,,,,,,,,,,,,,,,,,,,
2017,PDD,BDF,Liberami,D,N,IT2016_070,,,,,,,,,,,,,,,,,,,
2017,PDD,BDF,Magic Island,D,N, ,,,,,,,,,,,,,,,,,,,
2016,PDD,BF,Perfetti sconosciuti,F,A,IT2016_003,,,,,,,,,,,,,,,,,,,
2016,PDD,BF,Fuocoammare,D,N, ,,,,,,,,,,,,,,,,,,,
2016,PDD,BF,Il racconto dei racconti,F,N,IT2015_016,,,,,,,,,,,,,,,,,,,
2016,PDD,BF,Non essere cattivo,F,N,IT2015_026,,,,,,,,,,,,,,,,,,,
2016,PDD,BF,Youth - la giovinezza,F,N,IT2015_004,,,,,,,,,,,,,,,,,,,
2016,PDD,BDF,S is for Stanley,D,A,IT2016_075,,,,,,,,,,,,,,,,,,,
2016,PDD,BDF,I bambini sanno,D,N, ,,,,,,,,,,,,,,,,,,,
2016,PDD,BDF,Harry's Bar,D,N, ,,,,,,,,,,,,,,,,,,,
2016,PDD,BDF,Louisiana,D,N, ,,,,,,,,,,,,,,,,,,,
2016,PDD,BDF,Revelstoke - Un bacio nel vento,D,N, ,,,,,,,,,,,,,,,,,,,
2015,PDD,BF,Anime nere,F,A,IT2014_026,,,,,,,,,,,,,,,,,,,
2015,PDD,BF,Hungry Hearts,F,N,IT2015_034,,,,,,,,,,,,,,,,,,,
2015,PDD,BF,Il giovane favoloso,F,N,IT2014_007,,,,,,,,,,,,,,,,,,,
2015,PDD,BF,Mia madre,F,N,IT2015_012,,,,,,,,,,,,,,,,,,,
2015,PDD,BF,Torneranno i prati,F,N, ,,,,,,,,,,,,,,,,,,,
2015,PDD,BDF,Belluscone,D,A,IT2014_044,,,,,,,,,,,,,,,,,,,
2015,PDD,BDF,Enrico Lucherini - Ne ho fatte di tutti i colori,D,N, ,,,,,,,,,,,,,,,,,,,
2015,PDD,BDF,Io sto con la sposa,D,N, ,,,,,,,,,,,,,,,,,,,
2015,PDD,BDF,Quando c'era Berlinguer,D,N, ,,,,,,,,,,,,,,,,,,,
2015,PDD,BDF,Sul vulcano,D,N, ,,,,,,,,,,,,,,,,,,,
2014,PDD,BF,Il capitale umano,F,A,IT2014_009,,,,,,,,,,,,,,,,,,,
2014,PDD,BF,La grande bellezza,F,N, ,,,,,,,,,,,,,,,,,,,
2014,PDD,BF,La mafia uccide solo d'estate,F,N, ,,,,,,,,,,,,,,,,,,,
2014,PDD,BF,La sedia della felicità,F,N,IT2014_023,,,,,,,,,,,,,,,,,,,
2014,PDD,BF,Smetto quando voglio,F,N,IT2014_013,,,,,,,,,,,,,,,,,,,
2014,PDD,BDF,Stop the Pounding Heart,D,A, ,,,,,,,,,,,,,,,,,,,
2014,PDD,BDF,Dal profondo,D,N, ,,,,,,,,,,,,,,,,,,,
2014,PDD,BDF,Il segreto,D,N, ,,,,,,,,,,,,,,,,,,,
2014,PDD,BDF,In utero Srebrenica,D,N, ,,,,,,,,,,,,,,,,,,,
2014,PDD,BDF,L'amministratore,D,N, ,,,,,,,,,,,,,,,,,,,
2014,PDD,BDF,Sacro GRA,D,N, ,,,,,,,,,,,,,,,,,,,
2024,CDC,BF,Anatomie d'une chute,F,A,FR2023_155,,,,,,,,,,,,,,,,,,,
2024,CDC,BF,Chien de la casse,F,N,FR2023_093,,,,,,,,,,,,,,,,,,,
2024,CDC,BF,Je verrai toujours vos visages,F,N,FR2023_073,,,,,,,,,,,,,,,,,,,
2024,CDC,BF,Le Procès Goldman,F,N,FR2023_167,,,,,,,,,,,,,,,,,,,
2024,CDC,BF,Le Règne animal,F,N,FR2023_173,,,,,,,,,,,,,,,,,,,
2024,CDC,BDF,Les Filles d'Olfa,D,A,,,,,,,,,,,,,,,,,,,,
2024,CDC,BDF,Atlantic Bar,D,N,FR2023_071,,,,,,,,,,,,,,,,,,,
2024,CDC,BDF,Little Girl Blue,D,N,FR2023_199,,,,,,,,,,,,,,,,,,,
2024,CDC,BDF,Notre corps,D,N,FR2023_176,,,,,,,,,,,,,,,,,,,
2024,CDC,BDF,Sur l'Adamant,D,N,FR2023_091,,,,,,,,,,,,,,,,,,,
2024,CDC,BAF,Linda veut du poulet !,A,A,FR2023_184,,,,,,,,,,,,,,,,,,,
2024,CDC,BAF,Interdit aux chiens et aux Italiens,A,N,FR2023_022,,,,,,,,,,,,,,,,,,,
2024,CDC,BAF,Mars Express,A,N,FR2023_205,,,,,,,,,,,,,,,,,,,
2023,CDC,BF,La Nuit du 12,F,A,FR2022_107,,,,,,,,,,,,,,,,,,,
2023,CDC,BF,Les Amandiers,F,N,FR2022_167,,,,,,,,,,,,,,,,,,,
2023,CDC,BF,En corps,F,N,FR2022_062,,,,,,,,,,,,,,,,,,,
2023,CDC,BF,L'Innocent,F,N,FR2022_143,,,,,,,,,,,,,,,,,,,
2023,CDC,BF,Pacifiction : Tourment sur les Îles,F,N,ES2022_023,,,,,,,,,,,,,,,,,,,
2023,CDC,BDF,Retour à Reims (Fragments),D,A,,,,,,,,,,,,,,,,,,,,
2023,CDC,BDF,Allons enfants,D,N,,,,,,,,,,,,,,,,,,,,
