film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,assisted_mobility
ES2022_002,Padre no hay más que uno 3,ES2022_002_05,Wendy Ramos,2,F,HE,ILA,LM,EM,AB,N
ES2022_003,As bestas,ES2022_003_01,Luis Zahera,2,M,HE,WWE,LM,SE,AB,N
ES2022_004,A todo tren 2: Ahora son ellas,ES2022_004_01,Santiago Segura,2,M,HE,WWE,MC,EM,AB,N
ES2022_004,A todo tren 2: Ahora son ellas,ES2022_004_02,Leo Harlem,3,M,HE,WWE,MC,RE,AB,N
ES2022_004,A todo tren 2: Ahora son ellas,ES2022_004_03,Carlos Iglesias,3,M,HE,WWE,UM,SE,AB,N
ES2022_004,A todo tren 2: Ahora son ellas,ES2022_004_04,Ramón Langa,3,M,HE,WWE,MC,SE,AB,N
ES2022_005,Los renglones torcidos de Dios,ES2022_005_01,Eduard Fernández,2,M,,WWE,UM,EM,AB,N
ES2022_005,Los renglones torcidos de Dios,ES2022_005_02,Antonio Buíl,2,M,,WWE,LM,UN,PD,N
ES2022_006,Competencia oficial,ES2022_006_01,Antonio Banderas,3,M,HE,WWE,UC,EM,AB,N
ES2022_006,Competencia oficial,ES2022_006_02,Oscar Martínez,3,M,HE,WLA,UC,EM,AB,N
ES2022_006,Competencia oficial,ES2022_006_03,José Luis Gómez,4,M,HE,WWE,UC,SE,AB,N
ES2022_006,Competencia oficial,ES2022_006_04,Manolo Solo,2,M,HE,WWE,UM,EM,AB,N
ES2022_007,Alcarràs,ES2022_007_01,Josep Abad,4,M,HE,WWE,LM,RE,AB,N
ES2022_010,Modelo 77,ES2022_010_01,Fernando Tejero,2,M,,WWE,LC,UN,AB,N
ES2022_011,La vida padre,ES2022_011_01,Karra Elejalde,3,M,HE,WWE,UM,SE,TD,N
ES2022_011,La vida padre,ES2022_011_02,Maribel Salas,2,F,,WWE,MC,EM,AB,N
ES2022_011,La vida padre,ES2022_011_03,Gorka Aguinagalde,2,M,,WWE,MC,EM,AB,N
