film_id,nat_title,film_genre,,,,,,,,,,,,,,,,,,,,,,,
FR2021_042,Profession du père,HIS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_042,Profession du père,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_043,Le Tour du monde en 80 jours,ADV,,,,,,,,,,,,,,,,,,,,,,,
FR2021_043,Le Tour du monde en 80 jours,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_044,De bas étage,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_044,De bas étage,CRI,,,,,,,,,,,,,,,,,,,,,,,
FR2021_045,Messe basse,THR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_045,Messe basse,HOR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_046,OSS 117: Alerte rouge en Afrique noire,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_046,OSS 117: Alerte rouge en Afrique noire,SPY,,,,,,,,,,,,,,,,,,,,,,,
FR2021_047,C'est quoi ce papy?!,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_048,Passion simple,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_048,Passion simple,ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_049,Pil,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_049,Pil,ADV,,,,,,,,,,,,,,,,,,,,,,,
FR2021_049,Pil,HIS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_049,Pil,FAN,,,,,,,,,,,,,,,,,,,,,,,
FR2021_050,Rouge,THR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_050,Rouge,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_051,Attention au départ,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_051,Attention au départ,ROA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_052,BAC Nord,CRI,,,,,,,,,,,,,,,,,,,,,,,
FR2021_052,BAC Nord,NOI,,,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,MPF,,,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,ANT,,,,,,,,,,,,,,,,,,,,,,,
FR2021_054,Louloute,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_054,Louloute,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_054,Louloute,CHI,,,,,,,,,,,,,,,,,,,,,,,
FR2021_054,Louloute,HIS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_055,Fragile,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_055,Fragile,ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_055,Fragile,COA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_056,La Terre des hommes,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_057,Gogo,DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_058,Laila in Haifa,MPF,,,,,,,,,,,,,,,,,,,,,,,
FR2021_058,Laila in Haifa,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_059,"Le Fils de l'épicière, le maire, le village et le monde",DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_060,Un triomphe,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_060,Un triomphe,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_061,Boîte noire,THR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_062,Délicieux,HIS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_062,Délicieux,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_063,La Nuit des rois,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_063,La Nuit des rois,FAN,,,,,,,,,,,,,,,,,,,,,,,
FR2021_063,La Nuit des rois,CRI,,,,,,,,,,,,,,,,,,,,,,,
FR2021_064,La Vie de château,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_065,Les Méchants,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_066,L'Origine du monde,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_067,La Ferme qui soigne - Agroécologie et médecines,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_067,La Ferme qui soigne - Agroécologie et médecines,DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d'Anaïs,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d'Anaïs,ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_069,Pourris gâtés,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_070,La Troisième guerre,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_070,La Troisième guerre,WAR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_071,"Là, où le temps s'est arrêté",DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s'est bien passé,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_073,Cette musique ne joue pour personne,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_074,    En route pour le milliard,DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_075,Eugénie Grandet,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_075,Eugénie Grandet,HIS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_076,Guermantes,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_077,J'ai aimé vivre là,DEX,,,,,,,,,,,,,,,,,,,,,,,
FR2021_077,J'ai aimé vivre là,DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_078,La Traversée,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_079,Gaza mon amour,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_079,Gaza mon amour,ROM,,,,,,,,,,,,,,,,,,,,,,,
