film_id,nat_title,eng_title,director,release_type,release_date,film_type,Close viewing?,,,,,,,,,,,,,,,,,,
FR2021_047,C'est quoi ce papy?!,When Granny Meets Grandpa,Gabriel Julien-Laferrière,THE,11/08/2021,F,YES,,,,,,,,,,,,,,,,,,
FR2021_048,Passion simple,Simple Passion,Danielle Arbid,THE,11/08/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_049,Pil,Pil's Adventure,Julien Fournet,THE,11/08/2021,A,NO,,,,,,,,,,,,,,,,,,
FR2021_050,Rouge,Red Soil,Farid Bentoumi,THE,11/08/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_051,Attention au départ,All Aboard!,Benjamin Euvrard,THE,18/08/2021,F,YES,,,,,,,,,,,,,,,,,,
FR2021_052,BAC Nord,The Stronghold,Cédric Jimenez,THE,18/08/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,Fantasies,"David Foenkinos, Stéphane Foenkinos",THE,18/08/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_054,Louloute,Louloute,Hubert Viel,THE,18/08/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_055,Fragile,"Hard Shell, Soft Shell",Emma Benestan,THE,25/08/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_056,La Terre des hommes,Beasts,Naël Marandin,THE,25/08/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_057,Gogo,Gogo,Pascal Plisson,THE,01/09/2021,D,YES,,,,,,,,,,,,,,,,,,
FR2021_058,Laila in Haifa,Laila in Haifa,Amos Gitai,THE,01/09/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_059,"Le Fils de l'épicière, le maire, le village et le monde","The Grocer's Son, The Mayer, The Village and The World",Claire Simon,THE,01/09/2021,D,NO,,,,,,,,,,,,,,,,,,
FR2021_060,Un triomphe,The Big Hit,Emmanuel Courcol,THE,01/09/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_061,Boîte noire,Black Box,Yann Gozlan,THE,08/09/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_062,Délicieux,Delicious,Éric Besnard,THE,08/09/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_063,La Nuit des rois,Night of the Kings,Philippe Lacôte,THE,08/09/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_064,La Vie de château,My Life in Versailles,"Clémence Madeleine-Perdrillat, Nathaniel Hlimi",THE,08/09/2021,A,NO,,,,,,,,,,,,,,,,,,
FR2021_065,Les Méchants,Fake News,"Mouloud Achour, Dominique Baumard",THE,08/09/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_066,L'Origine du monde,Dear Mother,Laurent Lafitte,THE,15/09/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_067,La Ferme qui soigne - Agroécologie et médecines,,Caroline Breton,THE,15/09/2021,D,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d'Anaïs,Anaïs in Love,Charline Bourgeois-Tacquet,THE,15/09/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_069,Pourris gâtés,Spoiled Brats,Nicolas Cuche,THE,15/09/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_070,La Troisième guerre,The Third War,"Giovanni Aloi, Andrea Barone",THE,22/09/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_071,"Là, où le temps s'est arrêté",,Christophe Tardy,THE,22/09/2021,D,YES,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s'est bien passé,Everything Went Fine,François Ozon,THE,22/09/2021,F,YES,,,,,,,,,,,,,,,,,,
FR2021_073,Cette musique ne joue pour personne,Love Song for Tough Guys,Samuel Benchetrit,THE,29/09/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_074,    En route pour le milliard,Downstream to Kinshasa,Dieudo Hamadi,THE,29/09/2021,D,NO,,,,,,,,,,,,,,,,,,
FR2021_075,Eugénie Grandet,Eugenie Grandet,Marc Dugain,THE,29/09/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_076,Guermantes,Guermantes,Christophe Honoré,THE,29/09/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_077,J'ai aimé vivre là,I Have Loved Living Here,Régis Sauder,THE,29/09/2021,D,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_078,La Traversée,The Crossing,Florence Miailhe,THE,29/09/2021,A,NO,,,,,,,,,,,,,,,,,,
FR2021_079,Gaza mon amour,Gaza mon amour,"Arab Nasser, Tarzan Nasser",THE,06/10/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_080,Le Kiosque,,Alexandra Pianelli,THE,06/10/2021,D,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_081,Tralala,Tralala,"Arnaud Larrieu, Jean-Marie Larrieu",THE,06/10/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_082,Debout les femmes!,Those Who Care,"Gilles Perret, François Ruffin",THE,13/10/2021,D,NO,,,,,,,,,,,,,,,,,,
FR2021_083,Eiffel,Eiffel,Martin Bourboulon,THE,13/10/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_084,L'Homme de la cave,The Man in the Basement,Philippe Le Guay,THE,13/10/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_085,Le Loup et le lion,The Wolf and the Lion,Gilles de Maistre,THE,13/10/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_086,"Le Poète illuminé, Germain Nouveau (1851-1920)",,Christian Philibert,THE,13/10/2021,D,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_087,Le Traducteur,The Translator,"Rana Kazkaz, Anas Khalaf",THE,13/10/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_088,À la vie,Sheroes,Aude Pépin,THE,20/10/2021,D,YES,,,,,,,,,,,,,,,,,,
FR2021_089,Illusions perdues,Lost Illusions,Xavier Giannoli,THE,20/10/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_090,Le Trésor du petit Nicolas,Little Nicholas' Treasure,Julien Rappeneau,THE,20/10/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_091,Les Héroïques,The Heroics,Maxime Roy,THE,20/10/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_092,"Spectre: Sanity, Madness & the Family","Spectre: Sanity, Madness & the Family",Jean-Baptiste de Laubier,THE,20/10/2021,D,NO,,,,,,,,,,,,,,,,,,
FR2021_093,Tonton Manu,Tonton Manu,"Patrick Puzenat, Thierry Dechilly",THE,20/10/2021,D,NO,,,,,,,,,,,,,,,,,,
FR2021_094,Tout nous sourit,"Husband, Wife, Kids... And Lovers",Mélissa Drigeard,THE,20/10/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_095,La Fracture,The Divide,Catherine Corsini,THE,27/10/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_096,Lui,Lui,Guillaume Canet,THE,27/10/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_097,Albatros,Drift Away,Xavier Beauvois,THE,03/11/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_098,"Les Olympiades, Paris 13e","Paris, 13th District",Jacques Audiard,THE,03/11/2021,F,NO,,,,,,,,,,,,,,,,,,
