person_id,person_name,birth_year,death_year,gender,,,,,,,,,,,,,,,,,,,,,
TBD,Antoine de Maximy,1959,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Antoine Duléry,1959,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Antoine Page,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Antoinette Boulat,?,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Antonin Peretjatko,1974,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Antony Hickling,1975,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Anémone,1950,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Arab Nasser,1988,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Ariane Ascaride,1954,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Arielle Dombasle,1953,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Arièle Semenoff,1947,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Arlette Thomas,1927,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Armand Éloi,1962,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Arnaud Desplechin,1960,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Arnaud Larrieu,1966,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Arnaud Tabarly,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Arthur Dreyfus,1986,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Arthur H,1966,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Arthur Harari,1981,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Asghar Farhadi,1972,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Aude Pépin,?,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Audrey Estrougo,1983,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Aurora Quattrocchi,1943,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Aurore Clément,1945,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Aurélia Georges,1973,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Aurélie Saada,1978,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Aurélien Recoing,1958,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Aurélien Vernhes-Lermusiaux,1980,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Azedine Ben,1995,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Aïssa Maïga,1975,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Baptiste Drapeau,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Basile Carré-Agostini,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Ben Gazzara,1930,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Ben Kingsley,1943,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Benjamin Euvrard,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Benjamin Massoubre,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Benoît Delépine,1958,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Benoît Jacquot,1947,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Benoît Poelvoorde,1964,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bernadette Lafont,1938,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Bernadette Le Saché,1950,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Bloch,1949,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Campan,1958,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Farcy,1949,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Fresson,1931,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Giraudeau,1947,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Le Coq,1950,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Murat,1941,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Ménez,1944,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Stora,1942,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Verley,1939,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard-Pierre Donnadieu,1949,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bertrand Mandico,1977,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bill Pullman,1953,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Biyouna,1952,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Blandine Lenoir,1973,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Bojena Horackova,?,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Bouli Lanners,1965,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Brenda Blethyn,1946,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Brigitte Catillon,1951,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Brigitte Fossey,1946,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Brigitte Roüan,1946,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Brigitte Sy,1956,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Bruce Dern,1936,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Chiche,1966,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Cremer,1929,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Ganz,1941,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Lochet,1959,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Moynot,1950,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Podalydès,1961,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Podalydès,1961,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Raffaeli,1950,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Todeschini,1962,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Bulle Ogier,1939,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Béatrice Dalle,1964,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Béatrice de Staël,1958,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Camille Ponsin,?,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Carine May,?,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Carine Tardieu,1973,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Carlo Brandt,1954,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Carlo Buccirosso,1954,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Carmen Maura,1945,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Carole Bouquet,1957,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Carole Franck,1970,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Caroline Breton,?,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Caroline Cellier,1945,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Caroline Silhol,1949,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Allégret,1946,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Arditi,1946,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Corsini,1956,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Deneuve,1943,,F,,,,,,,,,,,,,,,,,,,,,
