id,type,slug,name,birthYear,deathYear,nationality,gender,character,director
Adam Gunn,Person,adam-gunn,Adam Gunn,1966,0,United States of America (the),Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Fantasy', 'id': 'DE2022_036', 'production': {'country': 'Germany', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'de2022-036-mia-and-me-the-hero-of-centopia', 'tags': 'supernatural entity', 'title': {'english': '', 'native': 'Mia and Me: The Hero of Centopia'}}]"
Adam Oldroyd,Person,adam-oldroyd,Adam Oldroyd,0,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Heist', 'id': 'GB2022_061', 'production': {'country': 'United Kingdom of Great Britain and Northern Ireland (the)', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'gb2022-061-sideshow', 'tags': 'self-employment', 'title': {'english': '', 'native': 'Sideshow'}}]"
Adam Park,Person,adam-park,Adam Park,0,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,"[{'filmType': 'Documentary', 'genre': 'Documentary – Performative mode', 'id': 'GB2019_049', 'production': {'country': 'United Kingdom of Great Britain and Northern Ireland (the)', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2019}, 'slug': 'gb2019-049-the-amber-light', 'tags': 'substance abuse', 'title': {'english': '', 'native': 'The Amber Light'}}]"
Adam Parr,Person,adam-parr,Adam Parr,1965,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,
Adam Puslojić,Person,adam-puslojic,Adam Puslojić,1943,0,Serbia,Male identifying,,
Adam Smith,Person,adam-smith,Adam Smith,0,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,
Adelfa Calvo,Person,adelfa-calvo,Adelfa Calvo,1962,0,Spain,Female identifying,"[{'ability': 'Able-bodied', 'age': '2: Late Middle Age (55-60)', 'assistedMobility': 'No', 'class': 'Lower Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Multi-protagonist film', 'id': 'ES2022_012', 'production': {'country': 'Belgium', 'share': 'Minority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'es2022-012-en-los-margenes', 'tags': 'unemployment', 'title': {'english': 'On the Fringe', 'native': 'En los márgenes'}}, 'gender': 'Female identifying', 'id': 'ES2022_012_01', 'origin': 'White Western European', 'profession': 'Employed', 'role': 'Unknown', 'sexuality': 'Unknown'}]",
Adeline Picault,Person,adeline-picault,Adeline Picault,1982,0,France,Female identifying,,"[{'filmType': 'Fiction film', 'genre': 'Coming of Age', 'id': 'FR2020_050', 'production': {'country': 'France', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2020}, 'slug': 'fr2020-050-t-as-pecho', 'tags': 'education', 'title': {'english': 'How to Make Out', 'native': ""T'as pécho ?""}}]"
Adina Cristescu,Person,adina-cristescu,Adina Cristescu,1967,2023,Romania,Female identifying,,
Adina Pintilie,Person,adina-pintilie,Adina Pintilie,1980,0,Romania,Female identifying,,"[{'filmType': 'Fiction film', 'genre': 'Experimental film ', 'id': 'RO2019_021', 'production': {'country': 'Romania', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2019}, 'slug': 'ro2019-021-touch-me-not', 'tags': 'body norms', 'title': {'english': 'Touch Me Not', 'native': 'Touch Me Not'}}]"
